,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,ENI,KL
42,1983.0,84,0.0253048008833875,0.0248555896127651,0.0918487909510807,0.0534424748851951,0.0906238105056472,0.0657931175396054,0.0360181467959959,0.0584289333414937,0.054749501925054,0.027327542223045,0.037581104643902,0.0506865463823252,0.1193582435136822,0.0421972529972685,0.0665221286816112,0.0498204109454133,0.0175626026431964,0.0356452218900572,0.0281677253090527,0.0240660543302203,7.320557965003807,0.052347313327390864
43,1984.0,76,0.02258797297741,0.0242907249042872,0.1157639730318243,0.0660727073161445,0.1056668149403038,0.0672278068492005,0.0396147304851647,0.0655774317041499,0.0302025762753032,0.0206351678797665,0.0416253460013124,0.0425303455004257,0.1001469635752852,0.0444469347199126,0.050342212693507,0.0577360941524484,0.0164763659219666,0.04134383935319,0.0457372739662006,0.0019747177521953,7.060187688012122,0.04126055799966356
44,1985.0,83,0.0194338787251923,0.0258689490345097,0.1055279152357111,0.0521364745769618,0.090536226462838,0.0835598316025089,0.057336193865715,0.0706261077471787,0.0309690861455002,0.0234000018129577,0.041243322471295,0.0367312057769776,0.0785515271735149,0.0499360386715825,0.0574718213351747,0.06305914357705,0.0162016118664671,0.0442569851017813,0.0495787128162381,0.0035749660008442,7.202775023091262,0.013927654727909446
45,1986.0,76,0.015590863470811,0.028614361790629,0.1186535915903723,0.0562804941592131,0.0973930660807332,0.0765582117090181,0.0543878282184061,0.0681428466743604,0.0213494058524462,0.0176369659203987,0.0392054475677381,0.0414846047274461,0.0854292681715163,0.0498164676584586,0.0651481925491553,0.0642391031036144,0.0177510782964308,0.0304376492582397,0.0469589087183999,0.0049216444826113,7.062641786993353,0.00856075274387431
46,1987.0,98,0.0229471410482382,0.0239875822933845,0.1139908338806722,0.0610764474296773,0.0927205386750172,0.0734351679910439,0.0467441197376357,0.0656119859966402,0.0112755563967176,0.0237240457462779,0.034116062895556,0.0521174744338669,0.0955951726107672,0.0456195321355896,0.059985947838211,0.0606873319874655,0.0257158705081834,0.0519517096692286,0.0347640773747212,0.0039334013511044,7.098656874492173,0.019169253519519393
47,1988.0,75,0.0331315417161457,0.0276752185609627,0.1367512666637546,0.0747730050628133,0.0956541637764532,0.0665820060024589,0.0400506832080435,0.0615952780902594,0.0255112974089651,0.0173986621152118,0.0338497694158181,0.0437672057664665,0.0955928608152342,0.0361981894774418,0.0458168952208227,0.0628320790945902,0.0198439649877553,0.0512710294678891,0.0258992452706997,0.0058056378782128,7.0299579785323285,0.0203298773019555
48,1989.0,90,0.0159645549950442,0.0323300582688307,0.1255926667690697,0.0641822083845128,0.0972623448818259,0.0739503749593229,0.0368307748504087,0.0649098031348749,0.0457970017241619,0.0153862104059555,0.0386187572608722,0.0513593704571418,0.0854486217705359,0.0385927116956629,0.0567985308063304,0.0601648594552627,0.0281651241132274,0.0331902066016537,0.0317378451809258,0.0037179742843786,7.0981661693095095,0.023490691618522654
49,1990.0,93,0.0171022431658481,0.0221033614021744,0.1356526374413335,0.0696052683128927,0.1082417173981284,0.0701846611797563,0.0340516800406986,0.0779336266111207,0.0119164803444519,0.0143931124412083,0.0302735189831575,0.0395907524627721,0.0946575723184226,0.0419002615496496,0.0527086127385234,0.0662653459810033,0.0193501739818403,0.0420585911925841,0.0451773043690043,0.0068330780854283,6.838178956927116,0.03208183804606422
50,1991.0,101,0.0286023492679673,0.0312575789628896,0.1161092730195384,0.0735090889607071,0.1020860452392753,0.0764298140737106,0.0309528680504072,0.0610199481037768,0.0177293929017057,0.0166731834968725,0.0269213284353495,0.0490778877245931,0.0975616622735776,0.0397221392987945,0.0512464858335263,0.0655501730446799,0.0225741226619209,0.045191341799831,0.044362110433912,0.0034232064169632,7.031440090515174,0.013250811886514113
51,1992.0,98,0.0226175629952665,0.0346166055869495,0.1284974166844478,0.0688115961643824,0.1074623053377842,0.0765831246207461,0.0339439813258704,0.0626381216619121,0.039292293116549,0.0132477805155783,0.0353625744344273,0.0517418177480752,0.0913035253365884,0.0306556339758823,0.0475383643029936,0.0729743756304267,0.0220943800633355,0.0271420532482808,0.0309284511520994,0.002548036098403,6.948662747361434,0.021790342021592815
