,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,ENI,KL
28,2001.0,127,0.0618719010348844,0.313260545290779,0.078182367846649,0.3112573773195285,0.0664161079933363,0.0865908321347724,0.0423656249143469,0.0400552434657024,3.3708041112306995,0.002603999192009779
29,2002.0,115,0.0580662438045965,0.2933231476825309,0.0820986471781128,0.3138166474210323,0.0746692243058723,0.0964672144819565,0.041759250646985,0.039799624478913,3.4205265866433936,0.0019157770951749586
30,2003.0,145,0.055479756954383,0.300257738005071,0.0728707669596255,0.3233309100994401,0.0744482328477453,0.0875905771854522,0.045098755101097,0.0409232628471849,3.3748588843752363,0.0013895002320056249
31,2004.0,146,0.0576102215264239,0.2993438868614663,0.0775339062062382,0.3153752848756682,0.074668831653145,0.0831560450980199,0.0488520484885217,0.0434597752905162,3.4152740406353925,0.0006301694448052157
32,2005.0,145,0.0671751610579061,0.2993227419014164,0.0750205464069707,0.3143009754170183,0.0752613102306177,0.0845101109019683,0.0400813560979113,0.0443277979861905,3.4131392301802266,0.0016575333872979065
33,2006.0,144,0.0627919406200861,0.2986843415498832,0.0770426540868293,0.309848445251907,0.0774643240107704,0.0799043608743238,0.0464864106487787,0.0477775229574205,3.442045087769687,0.0009827604996875154
34,2007.0,159,0.0636423574726407,0.312180031631551,0.0832362282261451,0.3001251206517603,0.0610121080448641,0.089191977126406,0.0392542907436586,0.0513578861029737,3.416831981172959,0.0038338931827544276
35,2008.0,172,0.0707468676444391,0.3132454858050259,0.075330551745714,0.2954518565899802,0.0608353821233935,0.0926041623187291,0.0417368982209942,0.0500487955517237,3.4321846145851382,0.0009673093895419451
36,2009.0,241,0.066195763213553,0.3038570289615448,0.0762081730549361,0.2884716168494397,0.0722387820141368,0.0901330589089685,0.0473202294607033,0.0555753475367171,3.5020290530895637,0.002073155037704083
37,2010.0,227,0.06069124834239,0.2969779769963628,0.0740491989719307,0.3168770969588543,0.0761572723902816,0.085429870853906,0.0437827474748914,0.0460345880113829,3.416418663191071,0.0029348317131512834
38,2011.0,229,0.062866796484355,0.3071413218901809,0.0788215422814411,0.2875810322447808,0.0694484846786838,0.093667912063698,0.0475410341893634,0.0529318761674963,3.4883803764121195,0.00309823844759757
39,2012.0,257,0.0652200191849911,0.2965759800121891,0.0724241958297808,0.318959530167952,0.0755565735593799,0.085911013831157,0.0415662031840758,0.0437864842304733,3.4065815168289224,0.0039707832069577394
40,2013.0,270,0.0533486566101011,0.3010667900115291,0.0697788195181925,0.3315634084075579,0.0824800156443566,0.0790299643768108,0.043937033274671,0.0387953121567807,3.338769294750857,0.0024347018167862793
41,2014.0,317,0.063054307110925,0.2974043031343948,0.0778562081800891,0.2970901155018229,0.0775235448921725,0.0902648045231931,0.0452649869392053,0.0515417297181967,3.488325026128932,0.00599549031988756
42,2015.0,392,0.0577912268901951,0.2964548900174152,0.072489487908053,0.3032651299139682,0.0867517638405076,0.089289690107478,0.0460440185839988,0.0479137927383838,3.4638714974841807,0.0011520626144266985
43,2016.0,435,0.0510119727338027,0.2998660215426587,0.0741880585882354,0.3001247999174193,0.08792388646666,0.0821473061412649,0.0484154931133824,0.0563224614965763,3.4697837707633052,0.0015294077845939029
44,2017.0,447,0.05469413013487,0.2809130790085328,0.0762307574481491,0.3022507659627518,0.0823434116494216,0.0851487878260773,0.0494737116404199,0.0689453563297771,3.5355978016742537,0.002343093791450297
45,2018.0,404,0.0542763781044145,0.2936927346783866,0.0755666237336235,0.3060134554464579,0.0881549212350148,0.0817828743366107,0.0415417064262108,0.058971306039281,3.4664123169406,0.002013907857072377
46,2019.0,362,0.0487873712588471,0.2989417019005134,0.075250216693451,0.3103776479399427,0.0882862405705686,0.0779943426289474,0.042830082541443,0.0575323964662857,3.430926810360907,0.0004923890389711165
47,2020.0,283,0.0561355759151283,0.2568731447483328,0.0795527383710412,0.3058447115434304,0.0856291093330484,0.0785526400019206,0.0352264572953636,0.1021856227917338,3.5695564302979417,0.018598887979512417
48,2021.0,254,0.0519602228867557,0.2680876881053174,0.0797813074601616,0.2832244470574604,0.0805780612180685,0.0800662393258505,0.0394086534581314,0.1168933804882538,3.602617925081613,0.002675347404603798
