Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
772/0.003032092303273064,183/0.0029701896038843026,1969/0.0032611370908195913,70/0.0018709226619996995,389/0.0029879929499889843,3013/0.0031614020358904397,2648/0.002903718797758533,
2840/0.0030161339227295215,1252/0.0029701896038843026,1857/0.003245754368693084,2512/0.0018611272553923713,886/0.002946684291694206,2446/0.0031351663343477804,1423/0.0028527763627101375,
2447/0.0030161339227295215,440/0.00292950207506397,1865/0.003184223480187054,2534/0.001851331848785043,762/0.002877836527869575,1486/0.0031351663343477804,2137/0.0028527763627101375,
2905/0.003000175542185979,1004/0.0027938769789961934,674/0.0031534580359340388,1461/0.001848066713249267,1578/0.0028502974223397226,2111/0.003108930632805121,2288/0.00282730514518594,
392/0.003000175542185979,19/0.0027938769789961934,252/0.0030765444253015015,566/0.0018382713066419387,1309/0.002836527869574796,840/0.0030958127820337918,889/0.0028018339276617422,
1828/0.0029842171616424364,2782/0.002789356142460601,1593/0.0030765444253015015,623/0.0018252107644988343,215/0.00282275831680987,666/0.003003987826634484,2777/0.0028018339276617422,
1185/0.0029842171616424364,1311/0.002762231123247046,1229/0.0030303962589219788,583/0.0018219456289630582,2267/0.0028089887640449437,231/0.002977752125091825,1149/0.002750891492613347,
106/0.0029842171616424364,1938/0.002748668613640268,1538/0.002999630814668964,117/0.0018186804934272821,1805/0.0028089887640449437,905/0.0029646342743204954,1364/0.002750891492613347,
932/0.002968258781098894,1708/0.002739626940569083,1387/0.0029842480925424564,1562/0.001815415357891506,857/0.0027952192112800176,3002/0.0029252807220065064,1556/0.002674477840040754,
2558/0.002968258781098894,795/0.0026537310463928244,2214/0.0029842480925424564,1869/0.001815415357891506,2359/0.0027401410002203127,2368/0.002767866512750551,1166/0.0024961793173713703,
1506/0.0029363420200118093,2582/0.002649210209857232,407/0.0029380999261629337,86/0.00181215022235573,1427/0.0027401410002203127,2207/0.0026760415573512434,2733/0.002445236882322975,
1490/0.0029044252589247245,794/0.002617564354108084,2789/0.0028919517597834113,1277/0.0018088850868199539,1900/0.0027126018946904604,2129/0.002531745198866618,2703/0.002317880794701987,
2996/0.0028725084978376393,662/0.002608522681036899,5/0.002876569037656904,2434/0.0018088850868199539,1373/0.0026988323419255343,2969/0.002413684541924651,2294/0.0022414671421293938,
2911/0.0028725084978376393,2013/0.0025949601714301213,1985/0.0028611863155303965,1194/0.0017990896802126256,1251/0.0026988323419255343,2235/0.002374330989610662,2889/0.0022159959246051963,
2561/0.0028246333562070122,818/0.002549751806074196,131/0.0028458035934038886,2193/0.0017925594091410734,1913/0.002685062789160608,1245/0.002321859586525344,1416/0.0022159959246051963,
1159/0.00280867497566347,1817/0.0025226267868606405,2510/0.002784272704897859,740/0.0017925594091410734,2380/0.002671293236395682,2158/0.0021906810788120475,2580/0.0021905247070809985,
63/0.00280867497566347,2504/0.002490980931111493,985/0.002738124538518336,2445/0.001779498866997969,2008/0.002671293236395682,1739/0.002072620421870081,1331/0.002139582272032603,
982/0.0027288830729457576,2749/0.0024864600945759003,2348/0.0027227418163918286,116/0.0017664383248548647,3012/0.0026575236836307555,1337/0.0019807954664707735,2667/0.002139582272032603,
