Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
596/0.0038037097910307584,502/0.005953714292451162,1799/0.004431604993141055,250/0.005355944179473591,1987/0.003361244257045685,739/0.006095504889373071,2302/0.00595310708273355,136/0.004196424720084298,,422/0.004923754518635476,,,
1272/0.0037978398685137357,1270/0.005847608493179755,2767/0.004418784535108825,228/0.00534887829005476,1844/0.0032750585068650265,953/0.005965813295982154,2018/0.005879913143191744,2532/0.004060857401667478,,505/0.00486142851207047,,,
269/0.0037802301009626674,1978/0.005776871293665484,6/0.004397417105055107,417/0.00510157216039569,1310/0.003248539814501747,105/0.005913936658625788,285/0.005831117183497206,2335/0.004011560194970452,,1372/0.004757551834462127,,,
719/0.0037508804883775535,2575/0.005706134094151213,604/0.0043034004128187486,2342/0.005087440381558029,356/0.0032153914490476473,2159/0.005887998339947605,1914/0.005660331324566326,2291/0.004005398044133324,,1007/0.004757551834462127,,,
2365/0.0037450105658605307,675/0.005623607361384563,507/0.004252118580689826,2222/0.005080374492139198,95/0.0032087617759568275,2308/0.005836121702591238,3016/0.005611535364871789,2203/0.003968425139110555,,2001/0.004757551834462127,,,
1334/0.003692181263207326,2545/0.005576449228375049,114/0.0042264776646253645,154/0.0050521109344638755,698/0.0031490947181394484,1108/0.005732368427878505,2648/0.00558713738502452,811/0.003949938686599171,,2965/0.004736776498940458,,,
2512/0.003598262502934961,1405/0.005576449228375049,2513/0.00420938372058239,2277/0.005016781487369722,83/0.0031424650450486286,835/0.005628615153165772,1970/0.005538341425329983,152/0.003912965781576402,,2242/0.004716001163418789,,,
362/0.0035923925804179383,2485/0.005576449228375049,279/0.004188016290528673,2548/0.0049885179296944,2167/0.0031358353719578087,1622/0.005628615153165772,662/0.005513943445482714,736/0.003906803630739274,,1954/0.004653675156853783,,,
2809/0.00357478281286687,2321/0.00548213296235602,1113/0.00413673445839975,1208/0.004917859035506095,1052/0.003115946352685349,2164/0.005602676834487588,2350/0.005489545465635445,1957/0.0038883171782278887,,337/0.0046328998213321145,,,
2453/0.0035102136651796196,2845/0.005470343429103641,544/0.004132460972389007,1178/0.004910793146087264,1467/0.00306290896795879,454/0.0055248618784530384,620/0.005465147485788177,207/0.0038205335190194785,,2067/0.0046328998213321145,,,
298/0.0034926038976285513,353/0.005470343429103641,1572/0.004034170794141905,472/0.004776541247129482,169/0.00306290896795879,2631/0.0055248618784530384,389/0.005440749505940908,1534/0.0038143713681823505,,379/0.004612124485810446,,,
2355/0.003474994130077483,1454/0.005364237629832235,760/0.0039657950179700086,2088/0.004776541247129482,1796/0.0030297606025046905,1805/0.005395170285062123,234/0.005318759606704565,2515/0.0038143713681823505,,1317/0.004612124485810446,,,
1461/0.0034632542850434374,29/0.005352448096579856,2522/0.003905966213819599,33/0.0047694753577106515,2383/0.0030297606025046905,1913/0.005343293647705756,1180/0.005294361626857296,1283/0.003808209217345222,,998/0.00454979847924544,,,
