Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
17/0.0013764507380918227,1972/0.0014376053602142716,1297/0.0010406882057589252,,,,
1213/0.0013764507380918227,283/0.0014376053602142716,1314/0.0010406882057589252,,,,
2062/0.0013730352275754657,848/0.0014333267728326815,1358/0.0010406882057589252,,,,
801/0.0013730352275754657,1901/0.0014290481854510914,619/0.0010204150588934916,,,,
688/0.0013730352275754657,1891/0.0014247695980695015,1842/0.0009933841964062469,,,,
982/0.0013696197170591088,1098/0.0014247695980695015,1015/0.0009866264807844357,,,,
1046/0.0013696197170591088,1265/0.0014162124233063212,1168/0.0009866264807844357,,,,
1159/0.0013559576749936813,1469/0.0014162124233063212,775/0.0009798687651626245,,,,
2080/0.0013559576749936813,147/0.0014162124233063212,268/0.0009798687651626245,,,,
0/0.0013525421644773243,520/0.0014033766611615509,817/0.000966353333919002,,,,
2042/0.0013525421644773243,2262/0.0014033766611615509,161/0.0009595956182971908,,,,
767/0.0013525421644773243,1490/0.0014033766611615509,1443/0.0009460801870535685,,,,
