i_doc,doc,Topic 1,Topic 2
237,burnnotice,1.0,0.0
238,kaizokusentaigokaiger,1.0,0.0
239,revolutionarygirlutena,1.0,0.0
240,fatezero,1.0,0.0
241,ben10omniverse,1.0,0.0
242,mobilefighterggundam,1.0,0.0
243,pantyandstockingwithgarterbelt,0.8333333333333334,0.16666666666666666
244,thepenguinsofmadagascar,1.0,0.0
245,sabrinatheteenagewitch,1.0,0.0
246,wizardsofwaverlyplace,1.0,0.0
247,digimonadventure02,1.0,0.0
248,thewire,1.0,0.0
249,sgtfrog,1.0,0.0
250,murdochmysteries,1.0,0.0
251,xmenevolution,1.0,0.0
252,metalocalypse,1.0,0.0
253,lexx,1.0,0.0
254,tenchimuyo,1.0,0.0
255,fistofthenorthstar,1.0,0.0
256,batman1966,1.0,0.0
257,misskobayashisdragonmaid,1.0,0.0
258,gilmoregirls,0.8333333333333334,0.16666666666666666
259,ben10alienforce,1.0,0.0
260,highschooldxd,1.0,0.0
261,kenichithemightiestdisciple,1.0,0.0
262,theboondocks,1.0,0.0
263,girlsundpanzer,1.0,0.0
264,loisandclark,1.0,0.0
265,jimmytwoshoes,1.0,0.0
266,eureka,1.0,0.0
267,magicalgirllyricalnanohastrikers,0.8333333333333334,0.16666666666666666
268,thecolbertreport,1.0,0.0
269,mobilesuitgundamseed,1.0,0.0
270,thesuitelifeofzackandcody,1.0,0.0
271,theowlhouse,1.0,0.0
272,victorious,0.8333333333333334,0.16666666666666666
273,dgrayman,1.0,0.0
274,regularshow,1.0,0.0
275,elementary,1.0,0.0
276,redwall,1.0,0.0
277,pinkyandthebrain,1.0,0.0
278,boruto,1.0,0.0
279,spartacusbloodandsand,1.0,0.0
280,azumangadaioh,1.0,0.0
281,downtonabbey,0.8333333333333334,0.16666666666666666
282,lawandordercriminalintent,1.0,0.0
283,modernfamily,1.0,0.0
284,kamenriderdouble,1.0,0.0
285,greysanatomy,1.0,0.0
286,boymeetsworld,0.8333333333333334,0.16666666666666666
287,startrekpicard,1.0,0.0
288,thegoodplace,0.8333333333333334,0.16666666666666666
289,kamenridergaim,1.0,0.0
290,myhime,0.8333333333333334,0.16666666666666666
291,robotech,0.8333333333333334,0.16666666666666666
292,getsmart,1.0,0.0
293,talespin,1.0,0.0
294,startrekdiscovery,1.0,0.0
295,bojackhorseman,1.0,0.0
296,drawntogether,1.0,0.0
297,kungfupandalegendsofawesomeness,1.0,0.0
298,blackbutler,1.0,0.0
299,misfits,1.0,0.0
300,eyeshield21,1.0,0.0
301,mahousentaimagiranger,1.0,0.0
302,er,1.0,0.0
303,uruseiyatsura,1.0,0.0
304,sonicthehedgehogsatam,1.0,0.0
305,pandorahearts,1.0,0.0
306,thirdrockfromthesun,1.0,0.0
307,theouterlimits1995,0.8333333333333334,0.16666666666666666
308,powerrangersrpm,0.8333333333333334,0.16666666666666666
309,mazingerz,1.0,0.0
310,adventuresofsonicthehedgehog,1.0,0.0
311,tigerandbunny,1.0,0.0
312,familymatters,1.0,0.0
313,lukecage2016,1.0,0.0
314,witch,0.8333333333333334,0.16666666666666666
315,cobrakai,1.0,0.0
316,blackclover,1.0,0.0
317,monster,1.0,0.0
318,monstermusume,1.0,0.0
319,thementalist,1.0,0.0
320,prettycure,1.0,0.0
321,ben10ultimatealien,1.0,0.0
322,kamenriderooo,1.0,0.0
323,fullhouse,1.0,0.0
324,thelooneytunesshow,1.0,0.0
325,macgyver1985,1.0,0.0
326,excelsaga,1.0,0.0
327,lucifer2016,1.0,0.0
328,degrassithenextgeneration,1.0,0.0
329,readyjetgo,1.0,0.0
330,the100,1.0,0.0
331,yugioharcv,1.0,0.0
332,buzzlightyearofstarcommand,0.8333333333333334,0.16666666666666666
333,gooftroop,1.0,0.0
334,totallyspies,1.0,0.0
335,rockyandbullwinkle,1.0,0.0
336,survivor,0.8333333333333334,0.16666666666666666
337,mobilesuitzetagundam,1.0,0.0
338,thebatman,1.0,0.0
339,spongebobsquarepants,1.0,0.0
340,luckystar,1.0,0.0
341,voltronlegendarydefender,1.0,0.0
342,generatorrex,1.0,0.0
343,highlander,1.0,0.0
344,aladdintheseries,1.0,0.0
345,quantumleap,1.0,0.0
346,fushigiyuugi,1.0,0.0
347,themandalorian,1.0,0.0
348,jessicajones2015,1.0,0.0
349,hannahmontana,1.0,0.0
350,teenwolf,1.0,0.0
351,veggietales,0.8333333333333334,0.16666666666666666
352,thevampirediaries,1.0,0.0
