Topic 1,Topic 2,Topic 3,Topic 4
1943/0.0016819309057873155,1751/0.0020834609963845826,1358/0.0013709934179320742,
2141/0.0016696540378618606,1799/0.0020834609963845826,260/0.0013709934179320742,
930/0.0016696540378618606,1334/0.0020834609963845826,596/0.0013644958187949553,
243/0.0016696540378618606,657/0.0020747069585846474,1038/0.0013644958187949553,
1593/0.001645100302010951,2304/0.0020747069585846474,335/0.0013644958187949553,
1514/0.001645100302010951,231/0.0020571988829847765,1185/0.0013644958187949553,
452/0.001632823434085496,2827/0.0020571988829847765,1713/0.0013644958187949553,
364/0.001632823434085496,2290/0.002039690807384906,2089/0.0013644958187949553,
2555/0.001632823434085496,2432/0.002039690807384906,287/0.0013579982196578364,
1325/0.0016205465661600412,573/0.0020221827317850358,261/0.0013579982196578364,
1441/0.0016205465661600412,689/0.0020221827317850358,228/0.0013579982196578364,
1395/0.0016082696982345863,148/0.0020221827317850358,127/0.0013579982196578364,
2612/0.0016082696982345863,58/0.0020134286939851006,1920/0.0013579982196578364,
2737/0.0016082696982345863,508/0.0020134286939851006,2437/0.0013515006205207175,
2874/0.0016082696982345863,457/0.0020134286939851006,624/0.0013515006205207175,
975/0.0015959928303091316,1511/0.0020134286939851006,1461/0.0013515006205207175,
1439/0.0015959928303091316,898/0.0020134286939851006,313/0.0013515006205207175,
1083/0.0015959928303091316,510/0.00199592061838523,2277/0.0013450030213835987,
2166/0.0015959928303091316,2982/0.00199592061838523,2291/0.0013450030213835987,
876/0.0015837159623836767,1322/0.001987166580585295,97/0.0013450030213835987,
263/0.0015837159623836767,417/0.001987166580585295,415/0.0013450030213835987,
1773/0.0015837159623836767,2323/0.001987166580585295,2036/0.0013450030213835987,
827/0.0015837159623836767,366/0.0019784125427853598,115/0.0013450030213835987,
85/0.0015714390944582218,1254/0.0019696585049854246,1979/0.00133850542224648,
1647/0.0015714390944582218,1757/0.0019696585049854246,691/0.00133850542224648,
501/0.0015714390944582218,250/0.0019696585049854246,1394/0.00133850542224648,
94/0.0015714390944582218,427/0.0019696585049854246,1434/0.00133850542224648,
670/0.001559162226532767,2160/0.0019609044671854894,843/0.00133850542224648,
2090/0.001559162226532767,1264/0.0019521504293855542,947/0.0013320078231093611,
480/0.001546885358607312,1335/0.0019433963915856188,2426/0.0013320078231093611,
174/0.001546885358607312,2390/0.0019433963915856188,298/0.0013255102239722422,
608/0.0015346084906818571,1572/0.0019346423537856836,2691/0.0013255102239722422,
2021/0.0015346084906818571,314/0.0019346423537856836,76/0.0013255102239722422,
1859/0.0015346084906818571,2260/0.0019346423537856836,1600/0.0013190126248351234,
1298/0.0015346084906818571,1178/0.0019346423537856836,626/0.0013125150256980045,
2537/0.0015346084906818571,911/0.0019258883159857484,134/0.0013125150256980045,
1521/0.0015346084906818571,2095/0.0019258883159857484,325/0.0013125150256980045,
423/0.0015223316227564025,503/0.0019171342781858132,3004/0.0013060174265608858,
2094/0.0015223316227564025,794/0.0019171342781858132,871/0.001299519827423767,
985/0.0015223316227564025,183/0.001908380240385878,1430/0.001299519827423767,
2915/0.0015100547548309476,140/0.001908380240385878,1208/0.001299519827423767,
1385/0.0015100547548309476,199/0.0018996262025859428,447/0.001299519827423767,
1903/0.0015100547548309476,1270/0.0018996262025859428,1075/0.001293022228286648,
338/0.0015100547548309476,1429/0.0018996262025859428,1326/0.001293022228286648,
628/0.0015100547548309476,380/0.0018996262025859428,2329/0.001293022228286648,
1763/0.0015100547548309476,2091/0.0018908721647860076,1760/0.0012865246291495292,
468/0.0015100547548309476,2346/0.0018821181269860724,428/0.0012865246291495292,
759/0.0015100547548309476,185/0.0018821181269860724,910/0.0012800270300124105,
2649/0.0015100547548309476,116/0.0018733640891861372,442/0.0012735294308752916,
2962/0.0014977778869054927,2108/0.001864610051386202,38/0.0012735294308752916,
306/0.0014977778869054927,740/0.001864610051386202,786/0.0012670318317381728,
1730/0.0014977778869054927,1141/0.0018558560135862666,1866/0.0012670318317381728,
359/0.0014855010189800378,371/0.0018558560135862666,2561/0.0012605342326010539,
1700/0.0014855010189800378,949/0.0018558560135862666,2063/0.0012605342326010539,
284/0.0014855010189800378,424/0.0018471019757863314,92/0.0012605342326010539,
858/0.0014855010189800378,2232/0.0018383479379863962,1171/0.0012605342326010539,
344/0.0014732241510545829,432/0.0018383479379863962,2317/0.0012605342326010539,
2741/0.0014732241510545829,659/0.001829593900186461,1562/0.0012605342326010539,
2746/0.0014732241510545829,549/0.001829593900186461,693/0.0012605342326010539,
1875/0.0014732241510545829,828/0.0018208398623865258,1105/0.001254036633463935,
153/0.0014732241510545829,363/0.0018208398623865258,2821/0.001254036633463935,
312/0.0014609472831291282,3/0.0018208398623865258,1191/0.001254036633463935,
2795/0.0014609472831291282,736/0.0018033317867866554,2716/0.001254036633463935,
953/0.0014609472831291282,2694/0.001785823711186785,390/0.001254036633463935,
2355/0.0014609472831291282,1585/0.001785823711186785,1068/0.0012475390343268163,
1124/0.0014609472831291282,1617/0.001785823711186785,654/0.0012410414351896974,
2937/0.0014609472831291282,203/0.0017770696733868496,814/0.0012345438360525786,
2447/0.0014486704152036733,1345/0.0017770696733868496,2083/0.0012345438360525786,
784/0.0014486704152036733,101/0.0017770696733868496,472/0.0012345438360525786,
821/0.0014486704152036733,775/0.0017683156355869144,2399/0.0012345438360525786,
1489/0.0014486704152036733,845/0.0017683156355869144,2905/0.0012280462369154597,
2321/0.0014363935472782184,305/0.001750807559987044,1406/0.0012280462369154597,
1268/0.0014363935472782184,170/0.0017420535221871088,868/0.0012280462369154597,
2932/0.0014363935472782184,2997/0.0017420535221871088,832/0.0012280462369154597,
496/0.0014241166793527635,1887/0.0017420535221871088,1924/0.0012215486377783408,
2225/0.0014241166793527635,343/0.0017332994843871736,1089/0.0012215486377783408,
1967/0.0014241166793527635,1159/0.0017332994843871736,272/0.0012215486377783408,
781/0.0014241166793527635,849/0.0017157914087873032,1249/0.0012215486377783408,
2670/0.0014241166793527635,774/0.0017157914087873032,2453/0.0012215486377783408,
1313/0.0014241166793527635,988/0.001707037370987368,1762/0.0012150510386412221,
1103/0.0014241166793527635,1285/0.0016982833331874328,2287/0.0012150510386412221,
1846/0.0014241166793527635,650/0.0016895292953874974,1085/0.0012150510386412221,
78/0.0014241166793527635,2767/0.0016895292953874974,943/0.0012085534395041033,
1707/0.0014241166793527635,535/0.0016895292953874974,1281/0.0012085534395041033,
1422/0.0014241166793527635,1591/0.0016807752575875622,271/0.0012085534395041033,
1596/0.0014118398114273086,1469/0.0016807752575875622,837/0.0012085534395041033,
30/0.0014118398114273086,1042/0.0016807752575875622,356/0.0012085534395041033,
1687/0.0013995629435018537,1302/0.001672021219787627,1449/0.0012085534395041033,
3020/0.0013995629435018537,1972/0.001672021219787627,18/0.0012020558403669844,
1101/0.0013995629435018537,171/0.001672021219787627,2926/0.0012020558403669844,
1084/0.0013995629435018537,2724/0.001672021219787627,1122/0.0012020558403669844,
1632/0.0013995629435018537,764/0.0016632671819876918,1283/0.0011955582412298655,
2443/0.001387286075576399,1027/0.0016632671819876918,1825/0.0011955582412298655,
796/0.001387286075576399,1227/0.0016545131441877566,1635/0.0011955582412298655,
2202/0.001387286075576399,2546/0.0016545131441877566,520/0.0011955582412298655,
818/0.001387286075576399,3000/0.0016545131441877566,2042/0.0011955582412298655,
1791/0.001387286075576399,811/0.0016545131441877566,1540/0.0011955582412298655,
1613/0.001387286075576399,1957/0.0016457591063878214,1309/0.0011955582412298655,
1462/0.001387286075576399,2771/0.0016457591063878214,824/0.0011890606420927466,
1616/0.0013750092076509441,123/0.0016370050685878862,2844/0.0011890606420927466,
1811/0.0013627323397254892,2177/0.001628251030787951,282/0.001182563042955628,
2155/0.0013627323397254892,207/0.001628251030787951,2357/0.001182563042955628,
239/0.0013627323397254892,205/0.0016194969929880158,1702/0.001176065443818509,
1123/0.0013627323397254892,964/0.0016194969929880158,430/0.001176065443818509,
576/0.0013627323397254892,881/0.0016107429551880804,1679/0.001176065443818509,
1756/0.0013627323397254892,383/0.0016019889173881452,1142/0.001176065443818509,
553/0.0013627323397254892,1100/0.00159323487958821,907/0.0011695678446813902,
2275/0.0013627323397254892,1543/0.00159323487958821,349/0.0011695678446813902,
2938/0.0013627323397254892,1671/0.00159323487958821,758/0.0011630702455442713,
103/0.0013627323397254892,1601/0.0015844808417882748,1167/0.0011630702455442713,
2966/0.0013627323397254892,2859/0.0015844808417882748,2339/0.0011630702455442713,
2131/0.0013504554718000343,197/0.0015757268039883396,701/0.0011630702455442713,
47/0.0013504554718000343,2226/0.0015757268039883396,627/0.0011565726464071527,
2639/0.0013504554718000343,2473/0.0015757268039883396,586/0.0011565726464071527,
2012/0.0013504554718000343,1111/0.0015757268039883396,2185/0.0011565726464071527,
2376/0.0013381786038745794,310/0.001549464690588534,497/0.0011565726464071527,
3023/0.0013381786038745794,1339/0.0015407106527885988,1989/0.0011500750472700338,
847/0.0013381786038745794,2181/0.0015407106527885988,792/0.0011500750472700338,
2989/0.0013381786038745794,1327/0.0015407106527885988,27/0.0011500750472700338,
1476/0.0013259017359491248,2793/0.0015407106527885988,869/0.001143577448132915,
1691/0.0013259017359491248,2335/0.0015407106527885988,2424/0.001143577448132915,
1435/0.0013259017359491248,2306/0.0015319566149886636,2077/0.001143577448132915,
1954/0.0013259017359491248,1386/0.0015319566149886636,1360/0.001143577448132915,
2749/0.0013259017359491248,1269/0.0015319566149886636,2167/0.001143577448132915,
643/0.0013259017359491248,444/0.0015319566149886636,2368/0.001137079848995796,
