Topic 1,Topic 2
1552/0.0016943340075794564,2435/0.0015527126021870686
2255/0.0016914277742902978,832/0.0015508167382039344
1049/0.0016885215410011392,552/0.0015508167382039344
266/0.0016856153077119806,2853/0.0015356498263388591
2901/0.001682709074422822,1870/0.0015204829144737839
1362/0.0016710841412661877,753/0.001511003594558112
2305/0.0016710841412661877,1992/0.0014882532267604992
1554/0.001662365441398712,414/0.001486357362777365
1392/0.0016594592081095533,1917/0.0014844614987942306
1119/0.0016594592081095533,1822/0.001476878042861693
368/0.001653646741531236,1782/0.0014711904509122898
2079/0.0016362093417962846,2516/0.001467398722946021
2623/0.001633303108507126,393/0.0014655028589628865
2791/0.001633303108507126,2638/0.0014617111309966177
296/0.0016303968752179674,1267/0.0014598152670134833
1637/0.0016187719420613332,1756/0.0014598152670134833
916/0.0016158657087721746,2212/0.0014541276750640803
637/0.0016158657087721746,1118/0.001448440083114677
543/0.0016158657087721746,227/0.0014446483551484083
1898/0.0016042407756155402,722/0.0014427524911652739
1080/0.0015897096091697473,854/0.0014408566271821395
225/0.0015809909093022715,756/0.0014408566271821395
38/0.0015751784427239543,1786/0.001438960763199005
2126/0.0015751784427239543,880/0.0014256897153170642
2536/0.0015751784427239543,435/0.0014200021233676612
326/0.0015722722094347957,1816/0.0014162103954013924
1463/0.0015664597428564787,113/0.001414314531418258
519/0.0015664597428564787,195/0.0014067310754857204
731/0.0015577410429890028,564/0.0013991476195531827
2509/0.0015548348096998442,1342/0.0013972517555700483
1902/0.0015228662435190997,1923/0.0013972517555700483
1366/0.0015199600102299411,1524/0.0013972517555700483
1871/0.0015170537769407825,2157/0.001395355891586914
2307/0.0015054288437841483,1764/0.0013934600276037795
24/0.0015025226104949897,587/0.0013839807076881077
350/0.0014879914440491966,1030/0.0013820848437049733
2286/0.0014821789774708796,232/0.0013801889797218389
921/0.0014734602776034038,147/0.0013782931157387045
1295/0.0014705540443142452,2628/0.0013726055237893013
2118/0.0014589291111576108,665/0.0013707096598061669
432/0.0014473041780009765,2708/0.0013688137958230324
723/0.0014414917114226593,4/0.0013650220678567636
1171/0.0014414917114226593,1243/0.0013631262038736292
60/0.0014414917114226593,2612/0.0013612303398904948
829/0.0014385854781335007,2816/0.0013612303398904948
16/0.001435679244844342,2425/0.0013460634280254198
2376/0.0014327730115551835,669/0.0013441675640422854
3019/0.0014298667782660249,814/0.001342271700059151
92/0.0014298667782660249,291/0.0013403758360760166
3005/0.0014240543116877079,1037/0.0013384799720928822
1853/0.0014211480783985493,802/0.0013271047881940757
2327/0.0014182418451093907,1127/0.0013214171962446727
155/0.0014124293785310734,883/0.001317625468278404
995/0.0014095231452419148,2159/0.001313833740312135
1129/0.0014037106786635976,1727/0.001304354420396463
1516/0.0014037106786635976,579/0.0012967709644639254
2829/0.001400804445374439,254/0.0012929792364976566
390/0.0013978982120852806,1729/0.0012872916445482536
1619/0.001394991978796122,272/0.0012834999165819848
1501/0.0013920857455069634,1371/0.0012816040525988504
2940/0.0013891795122178048,32/0.0012740205966663128
540/0.0013775545790611703,1732/0.0012740205966663128
1385/0.0013688358791936947,210/0.001270228868700044
726/0.001360117179326219,216/0.0012683330047169095
416/0.0013543047127479017,1001/0.0012645412767506407
