Topic 1,Topic 2
1053/0.0011389649515659208,57/0.0022703645727532354
343/0.0011389649515659208,1425/0.0022464659983032014
2605/0.0011377174543571959,1793/0.0022464659983032014
2541/0.0011377174543571959,1591/0.0022464659983032014
2473/0.001136469957148471,136/0.0022345167110781844
1172/0.0011339749627310208,2162/0.0022225674238531674
664/0.001131479968313571,240/0.0022106181366281503
1548/0.001127737476687396,1216/0.0022106181366281503
1759/0.001125242482269946,2595/0.0021867195621781163
1/0.0011239949850612209,1504/0.0021867195621781163
1256/0.001122747487852496,547/0.002162820987728082
201/0.001121499990643771,668/0.002150871700503065
516/0.001121499990643771,1228/0.002150871700503065
432/0.0011190049962263209,348/0.0021150238388280137
708/0.001117757499017596,1237/0.0021150238388280137
1444/0.0011152625046001458,1699/0.0020791759771529627
680/0.001111520012973971,164/0.0020433281154779116
1635/0.001106530024139071,237/0.0019955309665778435
1571/0.001105282526930346,921/0.0019955309665778435
2348/0.001105282526930346,1913/0.0019835816793528265
2503/0.001101540035304171,1834/0.0019835816793528265
180/0.001096550046469271,1630/0.0019596831049027924
407/0.001087817566008196,1783/0.0019357845304527584
345/0.0010865700687994711,1715/0.0018760380943276733
869/0.001082827577173296,1394/0.0018640888071026563
1434/0.001080332582755846,1709/0.0018401902326526222
118/0.001079085085547121,899/0.0018282409454276052
739/0.0010765900911296712,1987/0.0018162916582025882
1496/0.0010728475995034961,1043/0.0017923930837525541
2324/0.0010728475995034961,1328/0.001756545222077503
9/0.001070352605086046,1510/0.001756545222077503
67/0.0010666101134598712,2306/0.001720697360402452
1467/0.001065362616251146,1710/0.001708748073177435
2616/0.0010641151190424211,2186/0.001696798785952418
2114/0.0010641151190424211,1594/0.001696798785952418
820/0.0010616201246249712,2327/0.001660950924277367
2534/0.0010553826385813461,40/0.0016251030626023158
1497/0.0010516401469551713,2384/0.0016131537753772988
1821/0.0010491451525377212,2192/0.0015773059137022477
2020/0.0010478976553289963,1470/0.0015653566264772307
2388/0.0010478976553289963,131/0.0015653566264772307
1775/0.0010478976553289963,2522/0.0015534073392522137
450/0.0010429076664940963,827/0.0015534073392522137
813/0.0010404126720766462,1459/0.0015534073392522137
789/0.0010379176776591963,2439/0.0015414580520271967
1179/0.0010254427055719462,1242/0.0015414580520271967
558/0.0010241952083632213,1547/0.0015056101903521454
614/0.0010241952083632213,955/0.0014936609031271284
2105/0.0010229477111544964,1814/0.0014817116159021114
2054/0.0010217002139457712,919/0.0014458637542270603
183/0.0010217002139457712,1336/0.0014458637542270603
1275/0.0010192052195283213,1405/0.0014339144670020433
1908/0.0010142152306934213,1160/0.0014339144670020433
62/0.0010092252418585214,2661/0.0014219651797770262
181/0.0010067302474410713,2194/0.0014219651797770262
587/0.0010054827502323463,2113/0.0014219651797770262
791/0.0010042352530236214,178/0.0014100158925520092
1101/0.0010029877558148965,1298/0.0013622187436519411
90/0.0010017402586061713,2181/0.0013622187436519411
476/0.0010004927613974464,1248/0.0011949287225017028
938/0.0010004927613974464,434/0.0011949287225017028
580/0.0009992452641887214,1717/0.0011829794352766858
1961/0.0009955027725625464,2428/0.0011710301480516688
634/0.0009942552753538214,1024/0.0011710301480516688
2672/0.0009917602809363713,1626/0.0011351822863766177
744/0.0009880177893101965,1125/0.0011232329991516007
426/0.0009855227948927464,2668/0.0011112837119265837
1971/0.0009842752976840215,2499/0.0010515372758014984
1247/0.0009805328060578464,2085/0.0010395879885764813
2065/0.0009805328060578464,1680/0.0010156894141264473
355/0.0009780378116403966,1970/0.0010037401269014303
998/0.0009767903144316714,1255/0.0009798415524513962
517/0.0009767903144316714,1377/0.0009798415524513962
194/0.0009755428172229465,2474/0.0009678922652263792
128/0.0009705528283880465,2425/0.0009439936907763452
65/0.0009693053311793214,1753/0.0009320444035513281
1315/0.0009680578339705965,660/0.0009320444035513281
1014/0.0009655628395531465,2620/0.0009320444035513281
1353/0.0009655628395531465,1745/0.0009200951163263111
1074/0.0009643153423444215,1664/0.000848399392976209
1006/0.0009630678451356965,606/0.000836450105751192
1019/0.0009618203479269715,524/0.0008245008185261749
231/0.0009605728507182465,2182/0.0008125515313011579
621/0.0009580778563007965,684/0.0007886529568511239
2118/0.0009580778563007965,444/0.0007647543824010898
981/0.0009580778563007965,1598/0.0007528050951760727
