Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,2495/0.002540368499430607,2427/0.0032782212086659066,129/0.0037857403779098728,,1932/0.003339412777107041,,,,,,,,,1774/0.001927795303189625,,,,,1704/0.00024715768660405336,,,,,,
,298/0.002525768680468362,1681/0.0032307107563664004,29/0.0037857403779098728,,213/0.003339412777107041,,,,,,,,,2555/0.001927795303189625,,,,,,,,,,,
,2668/0.002525768680468362,613/0.0032307107563664004,857/0.0037857403779098728,,1122/0.00331372498651391,,,,,,,,,1820/0.001840168243953733,,,,,,,,,,,
,1209/0.002525768680468362,1409/0.003135689851767389,11/0.003752532128980839,,2320/0.00331372498651391,,,,,,,,,1070/0.001840168243953733,,,,,,,,,,,
,327/0.002525768680468362,1350/0.003040668947168377,589/0.003752532128980839,,837/0.003288037195920779,,,,,,,,,1264/0.0017525411847178409,,,,,,,,,,,
,2161/0.002525768680468362,844/0.003040668947168377,547/0.003752532128980839,,2309/0.003288037195920779,,,,,,,,,2534/0.0017525411847178409,,,,,,,,,,,
,605/0.002511168861506117,410/0.0029931584948688712,800/0.003719323880051805,,1516/0.0032623494053276476,,,,,,,,,2556/0.0016649141254819488,,,,,,,,,,,
,1227/0.002511168861506117,2184/0.002945648042569365,2671/0.0037027197555872878,,2219/0.0032623494053276476,,,,,,,,,1598/0.0015772870662460567,,,,,,,,,,,
,1671/0.0024965690425438726,2655/0.002945648042569365,369/0.0037027197555872878,,184/0.003236661614734517,,,,,,,,,1654/0.0014896600070101647,,,,,,,,,,,
,1985/0.0024965690425438726,1049/0.0028506271379703536,2591/0.0037027197555872878,,175/0.003236661614734517,,,,,,,,,2037/0.0014896600070101647,,,,,,,,,,,
,2175/0.0024965690425438726,1753/0.0028506271379703536,271/0.0037027197555872878,,643/0.0032109738241413856,,,,,,,,,2444/0.0014020329477742728,,,,,,,,,,,
,713/0.0024819692235816277,2077/0.0028506271379703536,961/0.003686115631122771,,1751/0.0032109738241413856,,,,,,,,,2569/0.0014020329477742728,,,,,,,,,,,
,975/0.0024673694046193828,2267/0.0028506271379703536,814/0.00363630325772922,,2516/0.0032109738241413856,,,,,,,,,2619/0.0012267788293024886,,,,,,,,,,,
,770/0.0024673694046193828,791/0.0027556062333713416,1604/0.00363630325772922,,2624/0.0032109738241413856,,,,,,,,,2455/0.0012267788293024886,,,,,,,,,,,
,1263/0.002438169766694893,1196/0.0026605853287723297,225/0.0036196991332647028,,847/0.0032109738241413856,,,,,,,,,2389/0.0009638976515948125,,,,,,,,,,,
,425/0.002438169766694893,1304/0.002613074876472824,44/0.003603095008800186,,2426/0.0031852860335482543,,,,,,,,,1978/0.0004381352961794602,,,,,,,,,,,
,1220/0.002438169766694893,927/0.002613074876472824,1186/0.003603095008800186,,2200/0.0031852860335482543,,,,,,,,,2445/0.0004381352961794602,,,,,,,,,,,
,2274/0.002408970128770403,2509/0.002565564424173318,909/0.003603095008800186,,2505/0.0031595982429551235,,,,,,,,,2261/0.0003505082369435682,,,,,,,,,,,
,1415/0.002408970128770403,2625/0.002565564424173318,1937/0.003603095008800186,,1436/0.003133910452361992,,,,,,,,,1679/0.0001752541184717841,,,,,,,,,,,
