i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
81,modernwarfare,0.1185929648241206,0.005025125628140704,0.14472361809045226,0.23819095477386934,0.08040201005025126,0.33869346733668343,0.0743718592964824
82,pokemonxandy,0.13782696177062373,0.12877263581488935,0.2977867203219316,0.026156941649899398,0.2022132796780684,0.19014084507042253,0.01710261569416499
83,kingdomheartsiii,0.10898082744702321,0.08678102926337034,0.218970736629667,0.01917255297679112,0.20484359233097882,0.35418768920282545,0.007063572149344097
84,bayonetta,0.1484848484848485,0.051515151515151514,0.2818181818181818,0.04242424242424243,0.26161616161616164,0.19494949494949496,0.01919191919191919
85,thewitcher3wildhunt,0.22346938775510203,0.02959183673469388,0.2163265306122449,0.07653061224489796,0.10102040816326531,0.33163265306122447,0.02142857142857143
86,batmanarkhamcity,0.18775510204081633,0.00816326530612245,0.16020408163265307,0.14591836734693878,0.09897959183673469,0.3520408163265306,0.04693877551020408
87,talesofvesperia,0.13934426229508196,0.0471311475409836,0.3463114754098361,0.031762295081967214,0.25,0.17520491803278687,0.010245901639344262
88,kidicarusuprising,0.14845360824742268,0.05670103092783505,0.277319587628866,0.04845360824742268,0.20824742268041238,0.25463917525773194,0.006185567010309278
89,deusexhumanrevolution,0.1711340206185567,0.010309278350515464,0.1556701030927835,0.25463917525773194,0.06597938144329897,0.29690721649484536,0.04536082474226804
90,superpapermario,0.20330237358101136,0.07430340557275542,0.23116615067079463,0.01238390092879257,0.23219814241486067,0.23323013415892674,0.013415892672858616
91,persona2,0.23760330578512398,0.05785123966942149,0.2634297520661157,0.04338842975206612,0.19421487603305784,0.18388429752066116,0.01962809917355372
92,kingdomheartsbirthbysleep,0.09533678756476684,0.09844559585492228,0.2528497409326425,0.008290155440414507,0.22901554404145077,0.30362694300518134,0.012435233160621761
93,guildwars2,0.11514522821576763,0.03630705394190872,0.2883817427385892,0.07572614107883817,0.23236514522821577,0.237551867219917,0.014522821576763486
94,banjokazooie,0.17133956386292834,0.06542056074766354,0.2502596053997923,0.04361370716510903,0.23260643821391486,0.22637590861889928,0.010384215991692628
95,xcomenemyunknown,0.09791666666666667,0.010416666666666666,0.19583333333333333,0.240625,0.14479166666666668,0.25729166666666664,0.053125
96,chronocross,0.12943632567849686,0.0720250521920668,0.29331941544885176,0.027139874739039668,0.2536534446764092,0.21711899791231734,0.007306889352818371
97,sonicadventure2,0.12016718913270637,0.018808777429467086,0.2664576802507837,0.04179728317659352,0.25705329153605017,0.27586206896551724,0.019853709508881923
98,maxpayne,0.0010471204188481676,0.0062827225130890054,0.15078534031413612,0.2774869109947644,0.040837696335078534,0.3287958115183246,0.19476439790575917
99,deusex,0.13522012578616352,0.012578616352201259,0.21278825995807127,0.2851153039832285,0.0859538784067086,0.2190775681341719,0.049266247379454925
100,psychonauts,0.3060796645702306,0.03249475890985325,0.16981132075471697,0.0649895178197065,0.149895178197065,0.2389937106918239,0.03773584905660377
101,gearsofwar,0.07651991614255765,0.010482180293501049,0.1960167714884696,0.20964360587002095,0.12264150943396226,0.3312368972746331,0.05345911949685535
102,planescapetorment,0.22655426765015807,0.03898840885142255,0.27713382507903056,0.0737618545837724,0.18440463645943098,0.18440463645943098,0.014752370916754479
103,supersmashbrosultimate,0.12539515279241306,0.0505795574288725,0.2476290832455216,0.03582718651211802,0.30031612223393045,0.23076923076923078,0.009483667017913594
104,diabloii,0.0582010582010582,0.03492063492063492,0.34074074074074073,0.0656084656084656,0.27195767195767195,0.21798941798941798,0.010582010582010581
105,fireemblemthreehouses,0.2330508474576271,0.13241525423728814,0.3940677966101695,0.015889830508474576,0.13347457627118645,0.08050847457627118,0.01059322033898305
106,dragonquest,0.05970149253731343,0.10127931769722814,0.34968017057569295,0.014925373134328358,0.337953091684435,0.1279317697228145,0.008528784648187633
107,animalcrossing,0.2638888888888889,0.10256410256410256,0.1987179487179487,0.02564102564102564,0.23397435897435898,0.1655982905982906,0.009615384615384616
108,godofwar,0.15252416756176154,0.03329752953813104,0.23952738990332975,0.055853920515574654,0.16648764769065522,0.3447905477980666,0.007518796992481203
109,finalfantasyx2,0.12580645161290321,0.04946236559139785,0.32903225806451614,0.03333333333333333,0.26344086021505375,0.1860215053763441,0.012903225806451613
110,marathon,0.09698275862068965,0.014008620689655173,0.22413793103448276,0.22844827586206898,0.10991379310344827,0.3081896551724138,0.018318965517241378
111,civilization,0.15384615384615385,0.020585048754062838,0.2221018418201517,0.17984832069339113,0.17768147345612134,0.21018418201516792,0.035752979414951244
112,saintsrowthethird,0.1926006528835691,0.013057671381936888,0.15451577801958652,0.14363438520130578,0.09357997823721437,0.30903155603917304,0.09357997823721437
113,finalfantasytactics,0.0916030534351145,0.04907306434023991,0.2857142857142857,0.03707742639040349,0.2955288985823337,0.2268266085059978,0.014176663031624863
114,starcraft,0.13333333333333333,0.024043715846994537,0.2174863387978142,0.26994535519125684,0.16393442622950818,0.15300546448087432,0.03825136612021858
115,bloodborne,0.14709110867178923,0.031833150384193196,0.31833150384193193,0.09220636663007684,0.18331503841931943,0.21295279912184412,0.014270032930845226
116,megamanclassic,0.15367727771679474,0.029637760702524697,0.33040614709110866,0.03732162458836443,0.3040614709110867,0.12952799121844127,0.015367727771679473
117,cavestory,0.10363836824696802,0.05181918412348401,0.2866593164277839,0.04961411245865491,0.22822491730981256,0.27342888643880925,0.006615214994487321
118,sonicadventure,0.10584343991179714,0.03307607497243661,0.29988974641675853,0.037486218302094816,0.2624035281146637,0.2535832414553473,0.007717750826901874
119,grandtheftauto,0.15138121546961325,0.009944751381215469,0.13038674033149172,0.19558011049723756,0.10828729281767956,0.2022099447513812,0.2022099447513812
120,megamanzero,0.08657047724750278,0.04661487236403995,0.37846836847946724,0.021087680355160933,0.2297447280799112,0.2142064372918979,0.023307436182019976
121,fallout2,0.12806236080178174,0.008908685968819599,0.2071269487750557,0.27616926503340755,0.16369710467706014,0.19265033407572382,0.02338530066815145
122,grandtheftautoiv,0.20378619153674832,0.004454342984409799,0.14365256124721604,0.17371937639198218,0.0645879732739421,0.27728285077951004,0.13251670378619154
123,xenobladechronicles2,0.12247191011235956,0.04943820224719101,0.28876404494382024,0.028089887640449437,0.24719101123595505,0.250561797752809,0.01348314606741573
124,fategrandorder,0.3717217787913341,0.07867730900798175,0.2519954389965792,0.036488027366020526,0.17559863169897377,0.07411630558722919,0.011402508551881414
125,pokemonrubyandsapphire,0.10894495412844037,0.14908256880733944,0.30963302752293576,0.022935779816513763,0.19495412844036697,0.2018348623853211,0.01261467889908257
