Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,69/0.00408555970773607,,2455/0.0050683530177624845,230/0.0047319725969348116,1218/0.003551520568243291,2176/0.004240687679083094,997/0.006173763376487316,,320/0.0041837357273598885,2016/0.005326231691078562,477/0.0064516129032258064,1357/0.004507628294036061,1428/0.0012236906510034262,1787/0.004709576138147566,,3007/0.00039840637450199205,,,,,,,,,
,2118/0.004071615817948575,,1505/0.0050683530177624845,2298/0.0046613461402641426,1343/0.00352800056448009,2334/0.004126074498567335,1645/0.006136346628751029,,2542/0.0041837357273598885,2460/0.005247904754445054,809/0.00640888698995941,543/0.004368932038834952,1724/0.0012236906510034262,1621/0.004709576138147566,,625/0.00039840637450199205,,,,,,,,,
,694/0.00405767192816108,,2613/0.00502185436622338,57/0.0046613461402641426,554/0.00352800056448009,991/0.004126074498567335,1945/0.005986679637805882,,2132/0.004140155146866557,1183/0.005247904754445054,1252/0.006280709250160222,2608/0.003259361997226075,607/0.0012236906510034262,2544/0.004524886877828055,,1817/0.00039840637450199205,,,,,,,,,
,1033/0.004043728038373585,,2035/0.00502185436622338,1951/0.004590719683593474,831/0.00352800056448009,737/0.004126074498567335,2869/0.005799595899124448,,1595/0.004140155146866557,2664/0.005247904754445054,1843/0.006152531510361034,,2082/0.0012236906510034262,1529/0.0044325422476682984,,1682/0.00039840637450199205,,,,,,,,,
,544/0.004029784148586089,,912/0.004975355714684274,2964/0.004590719683593474,1051/0.0035044805607168895,2124/0.0040114613180515755,1172/0.005762179151388162,,2262/0.004140155146866557,2221/0.005247904754445054,143/0.006024353770561846,,1619/0.0012236906510034262,2492/0.0044325422476682984,,605/0.00039840637450199205,,,,,,,,,
,1723/0.004029784148586089,,2322/0.004975355714684274,924/0.004590719683593474,720/0.0034809605569536893,1431/0.0040114613180515755,1851/0.005762179151388162,,2243/0.004140155146866557,1970/0.005012923944544529,2787/0.006024353770561846,,2579/0.0012236906510034262,2482/0.004340197617508542,,741/0.00039840637450199205,,,,,,,,,
,2866/0.003987952479223604,,2484/0.004975355714684274,1557/0.004590719683593474,880/0.003433920549427288,2910/0.003782234957020057,655/0.0057247624036518745,,2070/0.004052993985879892,641/0.004856270071277513,502/0.005938901944029054,,1206/0.0012236906510034262,2974/0.00415550835718903,,679/0.00039840637450199205,,,,,,,,,
,1113/0.0039740085894361095,,2327/0.004882358411606063,2049/0.004308213856910798,1240/0.003433920549427288,2605/0.003782234957020057,1219/0.005649928908179301,,1642/0.004052993985879892,2142/0.004856270071277513,2536/0.005725272377697073,,2855/0.0012236906510034262,2638/0.003878474466709761,,1284/0.00039840637450199205,,,,,,,,,
,1267/0.003946120809861119,,1478/0.004882358411606063,93/0.004308213856910798,1714/0.003433920549427288,1187/0.003782234957020057,1234/0.005612512160443014,,1016/0.004052993985879892,1364/0.004777943134644004,316/0.005725272377697073,,2697/0.0012236906510034262,251/0.0037861298365500047,,,,,,,,,,,
,1968/0.003932176920073624,,2792/0.004882358411606063,1067/0.004308213856910798,1854/0.003433920549427288,2285/0.003782234957020057,877/0.005462845169497867,,451/0.00400941340538656,2174/0.004699616198010496,1024/0.005597094637897885,,2791/0.0009789525208027412,2241/0.0036937852063902484,,,,,,,,,,,
