Topic 1,Topic 2,Topic 3,Topic 4
271/0.0022307705819325147,272/0.0011219878094133517,2260/0.002799145299145299,2776/0.00047376524931896246
1643/0.0022307705819325147,529/0.0011219878094133517,538/0.002735042735042735,2586/0.00023688262465948123
766/0.0022307705819325147,1295/0.0011219878094133517,1052/0.002564102564102564,2145/0.00023688262465948123
612/0.0022307705819325147,1463/0.0011219878094133517,61/0.002542735042735043,2556/0.00023688262465948123
1667/0.0022132054592401327,1949/0.0011219878094133517,1503/0.0023504273504273503,589/0.00023688262465948123
1345/0.0022132054592401327,794/0.0011156845071132768,632/0.0022863247863247863,2852/0.00023688262465948123
1339/0.0022132054592401327,1194/0.0011156845071132768,1941/0.002264957264957265,636/0.00023688262465948123
1407/0.0021956403365477506,1277/0.0011156845071132768,1074/0.0022222222222222222,245/0.00011844131232974062
427/0.0021956403365477506,2212/0.0011093812048132016,1678/0.0021794871794871794,
459/0.0021956403365477506,224/0.0011093812048132016,779/0.0021794871794871794,
2858/0.0021956403365477506,1571/0.0011093812048132016,1620/0.002158119658119658,
1905/0.002178075213855369,3024/0.0011030779025131266,2859/0.00202991452991453,
574/0.002178075213855369,117/0.0011030779025131266,2543/0.0020085470085470084,
2573/0.002178075213855369,1452/0.0011030779025131266,1677/0.0019017094017094018,
154/0.002178075213855369,2126/0.0011030779025131266,2546/0.0017735042735042734,
896/0.002178075213855369,587/0.0011030779025131266,2304/0.0017307692307692308,
1983/0.002178075213855369,1049/0.0010967746002130516,1592/0.001623931623931624,
1164/0.002178075213855369,616/0.0010967746002130516,1034/0.0015384615384615385,
557/0.002178075213855369,1562/0.0010904712979129766,1653/0.0015384615384615385,
1434/0.002178075213855369,2434/0.0010841679956129016,1854/0.0012606837606837606,
1569/0.002178075213855369,2628/0.0010841679956129016,2878/0.0012393162393162394,
1488/0.002178075213855369,2069/0.0010841679956129016,2947/0.0010897435897435897,
264/0.002160510091162987,1498/0.0010778646933128266,2870/0.0009401709401709402,
1033/0.002160510091162987,2325/0.0010778646933128266,2894/0.0009401709401709402,
