i_doc,doc,Topic 1,Topic 2,Topic 3
93,adr1ft,0.5,0.3333333333333333,0.16666666666666666
94,advancedvariablegeo,0.37572254335260113,0.5144508670520231,0.10982658959537572
95,adventrising,0.40298507462686567,0.5223880597014925,0.07462686567164178
96,adventure,0.49295774647887325,0.43661971830985913,0.07042253521126761
97,adventureaplanetofdeath,0.18181818181818182,0.6363636363636364,0.18181818181818182
98,adventureallinthegame,0.4375,0.4375,0.125
99,adventurebincacurse,0.36363636363636365,0.5454545454545454,0.09090909090909091
100,adventurecshipofdoom,0.23529411764705882,0.5882352941176471,0.17647058823529413
101,adventurefunpak,0.0,0.6666666666666666,0.3333333333333333
102,adventureisland,0.6256410256410256,0.35384615384615387,0.020512820512820513
103,adventurequest3d,0.3875598086124402,0.5980861244019139,0.014354066985645933
104,adventurestory,0.5,0.5,0.0
105,adventuretheinsidejob,0.42105263157894735,0.3157894736842105,0.2631578947368421
106,adventurewelcometothegenre,0.4375,0.4375,0.125
107,adventuresinthegalaxyoffantabulouswonderment,0.3448275862068966,0.4482758620689655,0.20689655172413793
108,adventuresinthemagickingdom,0.47368421052631576,0.5263157894736842,0.0
109,adventuresofdinoriki,0.46153846153846156,0.5,0.038461538461538464
110,adventuresoflolo,0.6082474226804123,0.3711340206185567,0.020618556701030927
111,adventuresofpip,0.25,0.75,0.0
112,adventuresoftron,0.18181818181818182,0.7272727272727273,0.09090909090909091
113,adventurestogo,0.3333333333333333,0.625,0.041666666666666664
114,adventureswithanxiety,0.3472222222222222,0.5833333333333334,0.06944444444444445
115,aegisofearthprotonovusassault,0.18181818181818182,0.7272727272727273,0.09090909090909091
116,aegiswing,0.3333333333333333,0.5714285714285714,0.09523809523809523
117,aeondrive,0.4,0.6,0.0
118,aerofighters,0.532608695652174,0.3804347826086957,0.08695652173913043
119,aerotheacrobat,0.5588235294117647,0.39705882352941174,0.04411764705882353
120,aerobiz,0.34615384615384615,0.46153846153846156,0.19230769230769232
121,aeternoblade,0.5581395348837209,0.4418604651162791,0.0
122,aetherion,0.34782608695652173,0.6521739130434783,0.0
123,aetolia,0.203125,0.765625,0.03125
124,affordablespaceadventures,0.4166666666666667,0.4722222222222222,0.1111111111111111
125,afrikakorpsvsdesertrats,0.16,0.24,0.6
126,afterarmageddongaiden,0.2909090909090909,0.6909090909090909,0.01818181818181818
127,afterburner,0.46153846153846156,0.38461538461538464,0.15384615384615385
128,afterimetthatcatgirlmyquestlistgottoolong,0.3333333333333333,0.6666666666666666,0.0
