i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
3022,offtheair,0.0,0.0,0.34615384615384615,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.0,0.0,0.038461538461538464,0.0
3023,oggyandthecockroaches,0.003105590062111801,0.024844720496894408,0.10559006211180125,0.21739130434782608,0.11801242236024845,0.059006211180124224,0.024844720496894408,0.16149068322981366,0.006211180124223602,0.012422360248447204,0.006211180124223602,0.021739130434782608,0.018633540372670808,0.031055900621118012,0.049689440993788817,0.052795031055900624,0.003105590062111801,0.009316770186335404,0.07453416149068323,0.0
3024,ohnoitsanalieninvasion,0.0,0.0,0.13043478260869565,0.08695652173913043,0.10869565217391304,0.021739130434782608,0.10869565217391304,0.13043478260869565,0.0,0.06521739130434782,0.021739130434782608,0.0,0.021739130434782608,0.06521739130434782,0.08695652173913043,0.0,0.043478260869565216,0.021739130434782608,0.08695652173913043,0.0
3025,ohyeahcartoons,0.0045871559633027525,0.022935779816513763,0.0871559633027523,0.2018348623853211,0.15137614678899083,0.06422018348623854,0.027522935779816515,0.16055045871559634,0.0045871559633027525,0.01834862385321101,0.01834862385321101,0.0,0.03211009174311927,0.04128440366972477,0.05045871559633028,0.027522935779816515,0.013761467889908258,0.009174311926605505,0.06422018348623854,0.0
3026,olivetheotherreindeer,0.0,0.022222222222222223,0.12222222222222222,0.17777777777777778,0.1111111111111111,0.07777777777777778,0.0,0.12222222222222222,0.0,0.0,0.0,0.011111111111111112,0.022222222222222223,0.06666666666666667,0.05555555555555555,0.14444444444444443,0.0,0.0,0.06666666666666667,0.0
3027,olivia,0.0,0.0,0.1346153846153846,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.0,0.11538461538461539,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.057692307692307696,0.07692307692307693,0.0,0.23076923076923078,0.0
3028,olliespack,0.0,0.0196078431372549,0.1568627450980392,0.09803921568627451,0.1568627450980392,0.0196078431372549,0.0196078431372549,0.1568627450980392,0.0,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.0392156862745098,0.0,0.0392156862745098,0.09803921568627451,0.0
3029,onehundredandonedalmatianstreet,0.017391304347826087,0.034782608695652174,0.11304347826086956,0.22608695652173913,0.08695652173913043,0.05217391304347826,0.017391304347826087,0.10434782608695652,0.0,0.008695652173913044,0.0,0.043478260869565216,0.043478260869565216,0.06956521739130435,0.05217391304347826,0.034782608695652174,0.017391304347826087,0.008695652173913044,0.06956521739130435,0.0
3030,onehundredandonedalmatianstheseries,0.008356545961002786,0.027855153203342618,0.116991643454039,0.22841225626740946,0.16434540389972144,0.06685236768802229,0.022284122562674095,0.116991643454039,0.0,0.005571030640668524,0.008356545961002786,0.025069637883008356,0.011142061281337047,0.036211699164345405,0.03899721448467967,0.05013927576601671,0.022284122562674095,0.002785515320334262,0.04735376044568245,0.0
3031,onethousandandonenights2011,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0
