i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
269,dota2,0.04721030042918455,0.027896995708154508,0.10300429184549356,0.0536480686695279,0.05150214592274678,0.20815450643776823,0.05793991416309013,0.09871244635193133,0.07081545064377683,0.05793991416309013,0.05793991416309013,0.0,0.06866952789699571,0.012875536480686695,0.02145922746781116,0.012875536480686695,0.02145922746781116,0.01072961373390558,0.017167381974248927
270,masseffectandromeda,0.01440329218106996,0.11522633744855967,0.06584362139917696,0.1419753086419753,0.06995884773662552,0.14609053497942387,0.08847736625514403,0.03497942386831276,0.01440329218106996,0.03909465020576132,0.06172839506172839,0.026748971193415638,0.0411522633744856,0.047325102880658436,0.012345679012345678,0.02263374485596708,0.01440329218106996,0.0411522633744856,0.00205761316872428
271,warioware,0.06903765690376569,0.10669456066945607,0.060669456066945605,0.0397489539748954,0.008368200836820083,0.20711297071129708,0.05230125523012552,0.02510460251046025,0.014644351464435146,0.03138075313807531,0.13179916317991633,0.0041841004184100415,0.1108786610878661,0.027196652719665274,0.006276150627615063,0.014644351464435146,0.06485355648535565,0.016736401673640166,0.008368200836820083
272,batmanarkhamorigins,0.026804123711340205,0.041237113402061855,0.03505154639175258,0.12577319587628866,0.0288659793814433,0.29690721649484536,0.10515463917525773,0.0288659793814433,0.010309278350515464,0.006185567010309278,0.11958762886597939,0.0,0.05979381443298969,0.04329896907216495,0.0,0.012371134020618556,0.020618556701030927,0.03505154639175258,0.004123711340206186
273,godofwarbetrayal,0.019230769230769232,0.0405982905982906,0.049145299145299144,0.1346153846153846,0.019230769230769232,0.28846153846153844,0.11752136752136752,0.05982905982905983,0.04487179487179487,0.04487179487179487,0.057692307692307696,0.0,0.05982905982905983,0.010683760683760684,0.00641025641025641,0.01282051282051282,0.01282051282051282,0.017094017094017096,0.004273504273504274
274,metalgearsolidpeacewalker,0.03958333333333333,0.04791666666666667,0.03958333333333333,0.1125,0.0375,0.24791666666666667,0.075,0.05,0.0125,0.029166666666666667,0.11458333333333333,0.00625,0.09166666666666666,0.020833333333333332,0.0,0.010416666666666666,0.016666666666666666,0.04375,0.004166666666666667
275,bravelydefault,0.03571428571428571,0.04831932773109244,0.06092436974789916,0.06092436974789916,0.03361344537815126,0.25630252100840334,0.052521008403361345,0.08403361344537816,0.07563025210084033,0.03361344537815126,0.06932773109243698,0.0063025210084033615,0.10294117647058823,0.012605042016806723,0.008403361344537815,0.01050420168067227,0.02100840336134454,0.008403361344537815,0.018907563025210083
276,trialsofmana,0.03837953091684435,0.06183368869936034,0.10874200426439233,0.0511727078891258,0.03837953091684435,0.232409381663113,0.057569296375266525,0.0767590618336887,0.08955223880597014,0.03837953091684435,0.031982942430703626,0.0021321961620469083,0.08102345415778252,0.0021321961620469083,0.023454157782515993,0.006396588486140725,0.0255863539445629,0.008528784648187633,0.0255863539445629
277,bully,0.029661016949152543,0.13559322033898305,0.059322033898305086,0.1292372881355932,0.0211864406779661,0.2288135593220339,0.06779661016949153,0.02754237288135593,0.00423728813559322,0.01694915254237288,0.09533898305084745,0.0,0.046610169491525424,0.0614406779661017,0.00423728813559322,0.00847457627118644,0.036016949152542374,0.023305084745762712,0.00423728813559322
278,ftlfasterthanlight,0.006507592190889371,0.03036876355748373,0.08026030368763558,0.0824295010845987,0.0911062906724512,0.25162689804772237,0.05856832971800434,0.07592190889370933,0.026030368763557483,0.052060737527114966,0.0368763557483731,0.026030368763557483,0.06290672451193059,0.019522776572668113,0.006507592190889371,0.01735357917570499,0.015184381778741865,0.05422993492407809,0.006507592190889371
