Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95
1291/0.005076476793248945,,1041/0.010653753026634382,462/0.012389937106918238,,1446/0.01349091314527818,,,,,1722/0.007081195051119863,833/0.014212167355521717,,,1984/0.015280135823429542,2437/0.012322770958226282,,,,,2546/0.011095390572641299,1439/0.00966183574879227,2393/0.012140387020822603,1936/0.014083148451818269,,,,,1148/0.010416666666666666,1481/0.010653823701109165,2122/0.0121580547112462,737/0.011726501894281075,1675/0.007957311364912938,,959/0.012939683059661767,1930/0.015938606847697757,,,,2467/0.010232300884955753,,,,2234/0.01061061061061061,,,,,2251/0.014826642335766423,,,,,,,,,,1407/0.011804032173822209,,217/0.009117281392457521,,1235/0.008839779005524863,,,,,,,,,,,,,,,,1185/0.010689851767388826,,2374/0.011821511821511822,,,,,1393/0.010142238713667285,,333/0.013952876135316572,,,640/0.010779144698301112,,,,
2579/0.0026371308016877636,,438/0.010460048426150122,2589/0.011823899371069183,,334/0.013044932545434273,,,,,219/0.006922067072443012,2017/0.013632078892031035,,,1057/0.015209394453876627,1671/0.011846988295746503,,,,,2074/0.010871993447017649,,1076/0.0118460746081966,1011/0.013407929005498215,,,,,567/0.009510869565217392,702/0.009559252772913017,2236/0.011961957054613198,1153/0.010734259426303445,2594/0.007676465081445422,,691/0.012489251054420376,1042/0.014842300556586271,,,,828/0.007098082595870207,,,,1596/0.01061061061061061,,,,,714/0.014598540145985401,,,,,,,,,,1568/0.011386190326961245,,2001/0.008426578256665285,,1841/0.008638874937217478,,,,,,,,,,,,,,,,1959/0.0034207525655644243,,1916/0.00357975357975358,,,,,2010/0.010018552875695733,,970/0.013426352507568778,,,2191/0.00995899238429994,,,,
,,1579/0.009491525423728813,1670/0.010880503144654089,,1611/0.01263611699557736,,,,,1337/0.006802721088435374,1372/0.0135595678340947,,,15/0.015138653084323713,86/0.011609096964506613,,,,,920/0.010797527738476432,,2416/0.011625340298727098,1837/0.013311469084595351,,,,,1477/0.008831521739130434,1529/0.009340338587273789,2245/0.011765859397980194,117/0.01037344398340249,2168/0.0073956187979779065,,2563/0.0041767331395110765,2120/0.014336313037611738,,,,1696/0.004793510324483776,,,,2453/0.01001001001001001,,,,,561/0.014256386861313869,,,,,,,,,,210/0.010132664786378356,,992/0.007045171985080812,,2331/0.0076343545956805625,,,,,,,,,,,,,,,,1790/0.0024230330672748005,,,,,,,1447/0.006184291898577613,,10/0.012110043438199289,,,1250/0.009373169302870533,,,,
,,1319/0.00900726392251816,2490/0.010628930817610063,,568/0.011669825695915561,,,,,361/0.006762939093766161,1108/0.013414545718222029,,,2449/0.01464346349745331,1142/0.010800266438290988,,,,,2603/0.010499664904311564,,1524/0.010815981164005593,48/0.013166779203241054,,,,,1281/0.006793478260869565,1567/0.009267367192060711,1091/0.011275615256397685,2618/0.009922424679776295,1395/0.00617861823628534,,,1357/0.014336313037611738,,,,2070/0.004056047197640118,,,,1732/0.00980980980980981,,,,,1690/0.013458029197080291,,,,,,,,,,1853/0.0074166927817820956,,526/0.0051112032048625505,,1072/0.0066298342541436465,,,,,,,,,,,,,,,,,,,,,,,324/0.0058132343846629565,,1277/0.01197841253126234,,,1507/0.00843585237258348,,,,
,,1392/0.008038740920096852,2045/0.010314465408805032,,1758/0.011409670346006616,,,,,2599/0.006723157099096949,1977/0.012544413022986005,,,666/0.01400679117147708,1273/0.009943857645827387,,,,,102/0.010499664904311564,,2526/0.010815981164005593,1716/0.013070319282338188,,,,,2018/0.006793478260869565,1864/0.0086835960303561,2012/0.011177566428081185,912/0.009110589933249143,1705/0.005429694813705299,,,842/0.011553381683251812,,,,2617/0.0030420353982300885,,,,214/0.00960960960960961,,,,,973/0.011747262773722627,,,,,,,,,,657/0.007312232320066855,,1197/0.0051112032048625505,,724/0.005926670015067805,,,,,,,,,,,,,,,,,,,,,,,,,2215/0.011451888903514545,,,1665/0.008201523140011716,,,,
,,508/0.005423728813559322,1129/0.010314465408805032,,1274/0.011298175196045639,,,,,358/0.006603811115089311,945/0.012544413022986005,,,1966/0.012662705149971703,1910/0.006137596345989152,,,,,116/0.010052870653064264,,1205/0.010815981164005593,437/0.012925629400983891,,,,,2364/0.005434782608695652,1566/0.007807939287799183,616/0.011079517599764683,2627/0.008930182211798665,,,,2282/0.011469050430089391,,,,,,,,2155/0.00880880880880881,,,,,2097/0.010948905109489052,,,,,,,,,,,,2569/0.002900953170327393,,575/0.0035158211953792064,,,,,,,,,,,,,,,,,,,,,,,,,2366/0.011188627089640647,,,2533/0.007967193907439954,,,,
,,2405/0.00387409200968523,2308/0.010062893081761006,,2426/0.011038019846136693,,,,,599/0.00644468313641246,2249/0.01218185773330433,,,2180/0.01245048104131296,2175/0.005138452754781616,,,,,223/0.009829473527440614,,2630/0.010374512545066588,54/0.012491559756921,,,,,1058/0.005208333333333333,726/0.006859311150029189,927/0.010883419943131679,1002/0.008930182211798665,,,,2285/0.011300387923764548,,,,,,,,1929/0.008008008008008008,,,,,991/0.01083485401459854,,,,,,,,,,,,,,2479/0.0033149171270718232,,,,,,,,,,,,,,,,,,,,,,,,,968/0.010135579834145057,,,969/0.005389572349150556,,,,
,,2462/0.002808716707021792,2256/0.01,,1593/0.010183223696435872,,,,,1442/0.006404901141743247,1661/0.012036835617431659,,,377/0.0116723259762309,831/0.003235322104862499,,,,,950/0.009755007818899398,,418/0.00941799720403208,588/0.01229863991511527,,,,,1713/0.004981884057971014,305/0.006494454173963806,2188/0.010000980488283165,2470/0.008930182211798665,,,,153/0.011216056670602124,,,,,,,,1515/0.007407407407407408,,,,,154/0.010492700729927007,,,,,,,,,,,,,,1830/0.0033149171270718232,,,,,,,,,,,,,,,,,,,,,,,,,1801/0.01000394892720811,,,2008/0.00492091388400703,,,,
,,,2342/0.009811320754716982,,747/0.00981157319656595,,,,,770/0.006285555157735609,1859/0.011964324559495323,,,175/0.0116723259762309,1174/0.003187743838614521,,,,,641/0.00968054211035818,,806/0.007652122728276065,2043/0.012153950033760972,,,,,2581/0.004302536231884058,2455/0.0031377699941622884,622/0.009902931659966663,1606/0.008839978351073426,,,,2313/0.011216056670602124,,,,,,,,1134/0.007207207207207207,,,,,1820/0.010150547445255474,,,,,,,,,,,,,,2196/0.0032144650929181316,,,,,,,,,,,,,,,,,,,,,,,,,2646/0.009740687113334211,,,,,,,
,,,1569/0.009622641509433962,,352/0.008845281896904152,,,,,2500/0.006245773163066396,325/0.011674280327749982,,,2220/0.010398981324278437,880/0.002569226377390808,,,,,2124/0.009606076401816963,,1669/0.007652122728276065,211/0.011623420468795215,,,,,,,946/0.009608785175017159,2130/0.00847916290817247,,,,2637/0.011131725417439703,,,,,,,,1503/0.007007007007007007,,,,,885/0.00946624087591241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232/0.009609056206397262,,,,,,,
,,,1903/0.009559748427672956,,121/0.005017281748243951,,,,,2071/0.006245773163066396,1688/0.011456747153940976,,,1292/0.009833050367855123,,,,,,1458/0.009606076401816963,,1077/0.005444779633581046,823/0.011430500626989486,,,,,,,2184/0.008432199235219139,506/0.008208551325996752,,,,2134/0.010541406645302748,,,,,,,,1672/0.005005005005005005,,,,,2116/0.00843978102189781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221/0.009477425299460314,,,,,,,
,,,1687/0.00949685534591195,,1723/0.00483145649830899,,,,,515/0.006245773163066396,2036/0.011166702922195635,,,790/0.00933786078098472,,,,,,2202/0.009457144984734529,,,1560/0.011189350824732323,,,,,,,2583/0.008138052750269634,1502/0.007937939743821036,,,,1367/0.009866756620003372,,,,,,,,1432/0.0032032032032032033,,,,,2106/0.006843065693430657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395/0.009345794392523364,,,,,,,
,,,235/0.009371069182389937,,2261/0.001114951499609767,,,,,1243/0.0062059911683971835,965/0.011166702922195635,,,1619/0.00933786078098472,,,,,,1038/0.009457144984734529,,,923/0.011092890903829459,,,,,,,591/0.008138052750269634,2577/0.007577124300920079,,,,1714/0.009360769101028841,,,,,,,,,,,,,2484/0.006614963503649635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215/0.00868763985783862,,,,,,,
,,,725/0.00930817610062893,,,,,,,699/0.006166209173727971,2185/0.010949169748386629,,,2170/0.00933786078098472,,,,,,1239/0.009382679276193313,,,2090/0.010851741101572297,,,,,,,918/0.007451710952054123,2082/0.00748692044019484,,,,1385/0.008770450328891887,,,,,,,,,,,,,1644/0.0036496350364963502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280/0.00868763985783862,,,,,,,
,,,1599/0.009119496855345912,,,,,,,1297/0.006126427179058758,1381/0.010876658690450293,,,620/0.008913412563667233,,,,,,928/0.009159282150569662,,,882/0.010176521655252242,,,,,,,2167/0.007353662123737621,636/0.007306512718744362,,,,2379/0.004806881430258054,,,,,,,,,,,,,1070/0.002281021897810219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034/0.008292747137027774,,,,,,,
,,,1964/0.009056603773584906,,,,,,,1358/0.006126427179058758,1475/0.010804147632513958,,,1097/0.008771929824561403,,,,,,2429/0.009159282150569662,,,1653/0.009838911932092216,,,,,,,1773/0.007157564467104618,1968/0.006765289554392928,,,,,,,,,,,,,,,,,1839/0.0017107664233576643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581/0.008292747137027774,,,,,,,
,,,1572/0.008867924528301888,,,,,,,1314/0.006126427179058758,2329/0.010659125516641287,,,1725/0.00841822297679683,,,,,,605/0.009159282150569662,,,2246/0.009694222050737918,,,,,,,1472/0.006569271497205608,810/0.006765289554392928,,,,,,,,,,,,,,,,,2556/0.0012545620437956204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374/0.007239699881532184,,,,,,,
,,,1993/0.008867924528301888,,,,,,,619/0.00600708119505112,1453/0.010441592342832281,,,2048/0.007852292020373514,,,,,,1400/0.00901035073348723,,,478/0.009404842288029324,,,,,,,863/0.005980978527306599,2356/0.006675085693667689,,,,,,,,,,,,,,,,,2277/0.0011405109489051094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442/0.007239699881532184,,,,,,,
,,,2406/0.008679245283018867,,,,,,,1842/0.005847953216374269,1746/0.010224059169023277,,,140/0.004739671760045274,,,,,,732/0.00901035073348723,,,1230/0.009260152406675026,,,,,,,1090/0.005784880870673596,294/0.006494677972217211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244/0.0053968671844149005,,,,,,,
,,,216/0.008616352201257862,,,,,,,1015/0.005808171221705056,565/0.010224059169023277,,,,,,,,,2235/0.008563556482239928,,,1100/0.009067232564869297,,,,,,,1684/0.005392685557407589,2665/0.006314270250766733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907/0.00434381992891931,,,,,,,
,,,2253/0.008616352201257862,,,,,,,775/0.005768389227035844,1180/0.009934014937277936,,,,,,,,,1693/0.008191227939533845,,,2585/0.008826082762612134,,,,,,,752/0.004608294930875576,2187/0.0055926393649648205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115/0.00434381992891931,,,,,,,
,,,1640/0.008113207547169812,,,,,,,268/0.005768389227035844,1329/0.009643970705532594,,,,,,,,,2258/0.007967830813910195,,,1156/0.008440243079000676,,,,,,,2299/0.004608294930875576,2040/0.0055926393649648205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060/0.003817296301171515,,,,,,,
,,,538/0.007924528301886792,,,,,,,817/0.005688825237697418,890/0.009643970705532594,,,,,,,,,1494/0.00781889939682776,,,537/0.007475643869972026,,,,,,,931/0.004510246102559075,1869/0.0052318239220638645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983/0.0018428326971172831,,,,,,,
,,,1486/0.007924528301886792,,,,,,,161/0.0056490432430282055,2320/0.009426437531723588,,,,,,,,,847/0.007669967979745327,,,1168/0.007041574225909134,,,,,,,1541/0.0035297578193940584,1330/0.00469060075771243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,987/0.007924528301886792,,,,,,,1443/0.00556947925368978,391/0.00891886012616924,,,,,,,,,851/0.007669967979745327,,,1791/0.006703964502749108,,,,,,,1835/0.003333660162761055,1826/0.004419989175536713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2592/0.007610062893081761,,,,,,,2482/0.005529697259020567,1433/0.008701326952360235,,,,,,,,,1445/0.007446570854121677,,,1780/0.006366354779589081,,,,,,,1350/0.00303951367781155,410/0.003878766011185279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,232/0.007484276729559748,,,,,,,584/0.0054501332696821414,1786/0.008556304836487564,,,,,,,,,1883/0.00737210514558046,,,1359/0.0022668081412173242,,,,,,,1184/0.002843416021178547,1511/0.0037885621504600395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1348/0.007484276729559748,,,,,,,229/0.005410351275012929,2626/0.008411282720614893,,,,,,,,,1805/0.00737210514558046,,,,,,,,,,2520/0.0013726835964310226,779/0.0036983582897348005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1390/0.00729559748427673,,,,,,,208/0.005330787285674504,1311/0.007831194257124212,,,,,,,,,496/0.007297639437039243,,,,,,,,,,,1934/0.0036983582897348005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,532/0.007232704402515723,,,,,,,2278/0.005330787285674504,738/0.007686172141251541,,,,,,,,,907/0.007223173728498027,,,,,,,,,,,7/0.0036081544290095615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,776/0.007169811320754717,,,,,,,1294/0.005330787285674504,2123/0.006961061561888188,,,,,,,,,1254/0.0070742423114155935,,,,,,,,,,,2046/0.0036081544290095615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1942/0.006792452830188679,,,,,,,573/0.005291005291005291,898/0.005873395692843159,,,,,,,,,1457/0.0070742423114155935,,,,,,,,,,,2227/0.0034277467075590836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,497/0.006603773584905661,,,,,,,1320/0.005291005291005291,2564/0.005438329345225147,,,,,,,,,512/0.006850845185791943,,,,,,,,,,,2427/0.0033375428468338446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1420/0.006415094339622641,,,,,,,253/0.005251223296336078,1702/0.004858240881734465,,,,,,,,,1406/0.006850845185791943,,,,,,,,,,,394/0.0032473389861086056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,916/0.006415094339622641,,,,,,,2148/0.005211441301666866,2540/0.004350663476180117,,,,,,,,,2654/0.006776379477250726,,,,,,,,,,,2497/0.0032473389861086056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2485/0.006352201257861635,,,,,,,662/0.0051716593069976525,875/0.004205641360307447,,,,,,,,,105/0.006404050934544642,,,,,,,,,,,2100/0.0032473389861086056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,836/0.006352201257861635,,,,,,,952/0.0050920953176592275,2614/0.004133130302371111,,,,,,,,,1843/0.006329585226003426,,,,,,,,,,,755/0.0032473389861086056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1879/0.006289308176100629,,,,,,,2161/0.0050920953176592275,2524/0.004133130302371111,,,,,,,,,2433/0.0062551195174622085,,,,,,,,,,,1676/0.0031571351253833666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,802/0.0060377358490566035,,,,,,,1323/0.004972749333651589,335/0.003988108186498441,,,,,,,,,826/0.006106188100379775,,,,,,,,,,,2094/0.001984484935955259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300/0.0060377358490566035,,,,,,,457/0.0048931853443131635,1584/0.003915597128562106,,,,,,,,,2501/0.006106188100379775,,,,,,,,,,,2243/0.0018942810752300197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,469/0.0060377358490566035,,,,,,,1067/0.004773839360305526,1967/0.0021028206801537233,,,,,,,,,1509/0.006106188100379775,,,,,,,,,,,2052/0.0018942810752300197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2150/0.0057861635220125785,,,,,,,2112/0.0046942753709671,2574/0.0015227322166630412,,,,,,,,,612/0.0058827909747561245,,,,,,,,,,,331/0.0018040772145047808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1947/0.005660377358490566,,,,,,,2126/0.0046942753709671,329/0.0015227322166630412,,,,,,,,,1414/0.0058827909747561245,,,,,,,,,,,1033/0.0017138733537795418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1287/0.00559748427672956,,,,,,,2596/0.0046942753709671,,,,,,,,,,2139/0.0058827909747561245,,,,,,,,,,,1413/0.0016236694930543028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1622/0.005157232704402516,,,,,,,1870/0.0046942753709671,,,,,,,,,,1278/0.005361531014967607,,,,,,,,,,,2486/0.0011726501894281074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2656/0.005031446540880503,,,,,,,2238/0.0046942753709671,,,,,,,,,,1347/0.005212599597885174,,,,,,,,,,,2575/0.0008118347465271514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,760/0.0047169811320754715,,,,,,,2201/0.004654493376297888,,,,,,,,,,2204/0.005212599597885174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1769/0.004654088050314465,,,,,,,646/0.0046147113816286745,,,,,,,,,,2026/0.004989202472261523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1422/0.004654088050314465,,,,,,,2488/0.0046147113816286745,,,,,,,,,,173/0.004467942512473006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1476/0.0045911949685534595,,,,,,,2222/0.0046147113816286745,,,,,,,,,,2508/0.004095613969766923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2095/0.004339622641509434,,,,,,,2303/0.004574929386959462,,,,,,,,,,1682/0.004095613969766923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2518/0.004213836477987422,,,,,,,2006/0.004574929386959462,,,,,,,,,,704/0.004095613969766923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1327/0.004150943396226415,,,,,,,1145/0.004415801408282611,,,,,,,,,,676/0.004095613969766923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1137/0.003962264150943396,,,,,,,1576/0.004415801408282611,,,,,,,,,,2362/0.003946682552684488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2131/0.0035849056603773585,,,,,,,285/0.004376019413613399,,,,,,,,,,1871/0.003872216844143272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2111/0.0033333333333333335,,,,,,,564/0.004376019413613399,,,,,,,,,,2092/0.003872216844143272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1338/0.0029559748427672957,,,,,,,2024/0.0043362374189441855,,,,,,,,,,1251/0.0037232854270608383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1505/0.0024528301886792454,,,,,,,2476/0.004296455424274973,,,,,,,,,,1556/0.0036488197185196216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1085/0.0020754716981132076,,,,,,,2152/0.004296455424274973,,,,,,,,,,1615/0.003574354009978405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,824/0.001761006289308176,,,,,,,632/0.004296455424274973,,,,,,,,,,2648/0.0034254225928959715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1885/0.0016352201257861635,,,,,,,109/0.004177109440267335,,,,,,,,,,2270/0.003276491175813538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1846/0.0015094339622641509,,,,,,,1813/0.004137327445598122,,,,,,,,,,2600/0.003202025467272321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2531/0.0005660377358490566,,,,,,,653/0.004137327445598122,,,,,,,,,,2459/0.0030530940501898875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1262/0.000440251572327044,,,,,,,1428/0.004137327445598122,,,,,,,,,,2551/0.002978628341648671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953/0.000440251572327044,,,,,,,1776/0.004137327445598122,,,,,,,,,,2588/0.002904162633107454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1130/0.0040577634562596965,,,,,,,,,,1914/0.002904162633107454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1979/0.004017981461590484,,,,,,,,,,719/0.0027552312160250203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2011/0.004017981461590484,,,,,,,,,,1925/0.0027552312160250203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1666/0.0038588534829136333,,,,,,,,,,1884/0.0026807655074838036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1092/0.0038588534829136333,,,,,,,,,,2655/0.002606299798942587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2558/0.003779289493575208,,,,,,,,,,1866/0.00253183409040137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,50/0.003739507498905995,,,,,,,,,,1865/0.00253183409040137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8/0.0036997255042367826,,,,,,,,,,2031/0.00253183409040137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1155/0.0036997255042367826,,,,,,,,,,2567/0.002233971256236503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2338/0.0036997255042367826,,,,,,,,,,2310/0.002159505547695286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1240/0.0036997255042367826,,,,,,,,,,1279/0.002159505547695286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
