i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
420,captainplanetandtheplaneteers,0.004024144869215292,0.2152917505030181,0.060362173038229376,0.05835010060362173,0.012072434607645875,0.10663983903420524,0.02012072434607646,0.07645875251509054,0.02012072434607646,0.056338028169014086,0.04426559356136821,0.08048289738430583,0.056338028169014086,0.014084507042253521,0.03420523138832998,0.004024144869215292,0.022132796780684104,0.008048289738430584,0.026156941649899398,0.03219315895372234,0.008048289738430584,0.01006036217303823,0.002012072434607646,0.02012072434607646,0.004024144869215292,0.004024144869215292
421,cornergas,0.014989293361884369,0.26124197002141325,0.11991434689507495,0.055674518201284794,0.06852248394004283,0.17987152034261242,0.059957173447537475,0.029978586723768737,0.004282655246252677,0.034261241970021415,0.0021413276231263384,0.034261241970021415,0.03640256959314775,0.0021413276231263384,0.006423982869379015,0.027837259100642397,0.0021413276231263384,0.006423982869379015,0.0,0.019271948608137045,0.01284796573875803,0.01284796573875803,0.0,0.008565310492505354,0.0,0.0
422,lastweektonightwithjohnoliver,0.01956521739130435,0.2717391304347826,0.09347826086956522,0.04782608695652174,0.08260869565217391,0.14130434782608695,0.043478260869565216,0.05,0.015217391304347827,0.017391304347826087,0.004347826086956522,0.058695652173913045,0.043478260869565216,0.006521739130434782,0.015217391304347827,0.030434782608695653,0.004347826086956522,0.0,0.002173913043478261,0.010869565217391304,0.010869565217391304,0.021739130434782608,0.0,0.008695652173913044,0.0,0.0
423,okkoletsbeheroes,0.002070393374741201,0.22981366459627328,0.057971014492753624,0.08902691511387163,0.055900621118012424,0.08695652173913043,0.022774327122153208,0.060041407867494824,0.006211180124223602,0.041407867494824016,0.024844720496894408,0.07867494824016563,0.018633540372670808,0.018633540372670808,0.045548654244306416,0.010351966873706004,0.022774327122153208,0.012422360248447204,0.037267080745341616,0.022774327122153208,0.018633540372670808,0.008281573498964804,0.002070393374741201,0.018633540372670808,0.002070393374741201,0.006211180124223602
424,acertainscientificrailgun,0.012345679012345678,0.25102880658436216,0.04526748971193416,0.053497942386831275,0.0102880658436214,0.059670781893004114,0.00205761316872428,0.09876543209876543,0.02263374485596708,0.0411522633744856,0.05555555555555555,0.10699588477366255,0.0205761316872428,0.006172839506172839,0.026748971193415638,0.01646090534979424,0.00823045267489712,0.00205761316872428,0.030864197530864196,0.06172839506172839,0.02880658436213992,0.00823045267489712,0.012345679012345678,0.00411522633744856,0.006172839506172839,0.00823045267489712
425,johnnytest,0.004048582995951417,0.25708502024291496,0.0931174089068826,0.07894736842105263,0.05060728744939271,0.13765182186234817,0.010121457489878543,0.038461538461538464,0.0020242914979757085,0.05465587044534413,0.012145748987854251,0.06882591093117409,0.02631578947368421,0.0020242914979757085,0.05263157894736842,0.012145748987854251,0.010121457489878543,0.016194331983805668,0.01417004048582996,0.008097165991902834,0.018218623481781375,0.0020242914979757085,0.0,0.02631578947368421,0.0,0.004048582995951417
426,happydays,0.019736842105263157,0.2719298245614035,0.08771929824561403,0.043859649122807015,0.08114035087719298,0.17982456140350878,0.039473684210526314,0.05263157894736842,0.0021929824561403508,0.03508771929824561,0.015350877192982455,0.015350877192982455,0.02850877192982456,0.0,0.0021929824561403508,0.039473684210526314,0.0043859649122807015,0.0021929824561403508,0.0021929824561403508,0.03070175438596491,0.02412280701754386,0.017543859649122806,0.0,0.0043859649122807015,0.0,0.0
427,thedreamstone,0.0,0.2566585956416465,0.08958837772397095,0.07506053268765134,0.01694915254237288,0.07506053268765134,0.012106537530266344,0.10653753026634383,0.01694915254237288,0.053268765133171914,0.04116222760290557,0.10411622276029056,0.031476997578692496,0.004842615012106538,0.04116222760290557,0.004842615012106538,0.009685230024213076,0.004842615012106538,0.014527845036319613,0.01937046004842615,0.004842615012106538,0.002421307506053269,0.0,0.012106537530266344,0.002421307506053269,0.0
428,primeval,0.027777777777777776,0.24145299145299146,0.03205128205128205,0.053418803418803416,0.019230769230769232,0.07905982905982906,0.008547008547008548,0.11965811965811966,0.023504273504273504,0.07478632478632478,0.057692307692307696,0.06623931623931624,0.049145299145299144,0.002136752136752137,0.03418803418803419,0.014957264957264958,0.03205128205128205,0.0,0.008547008547008548,0.027777777777777776,0.004273504273504274,0.004273504273504274,0.0,0.014957264957264958,0.004273504273504274,0.0
429,thecritic,0.008264462809917356,0.25413223140495866,0.08677685950413223,0.08057851239669421,0.10950413223140495,0.17148760330578514,0.04132231404958678,0.022727272727272728,0.002066115702479339,0.03925619834710744,0.002066115702479339,0.014462809917355372,0.04338842975206612,0.0,0.014462809917355372,0.03305785123966942,0.0,0.006198347107438017,0.002066115702479339,0.02066115702479339,0.01652892561983471,0.014462809917355372,0.0,0.01652892561983471,0.0,0.0
430,gijoearealamericanhero,0.019027484143763214,0.2156448202959831,0.040169133192389,0.06976744186046512,0.021141649048625793,0.11205073995771671,0.010570824524312896,0.08456659619450317,0.02748414376321353,0.06342494714587738,0.05919661733615222,0.10782241014799154,0.04439746300211417,0.008456659619450317,0.023255813953488372,0.008456659619450317,0.023255813953488372,0.0,0.021141649048625793,0.004228329809725159,0.012684989429175475,0.0,0.0,0.016913319238900635,0.0021141649048625794,0.004228329809725159
431,demonslayerkimetsunoyaiba,0.002207505518763797,0.24944812362030905,0.01545253863134658,0.0640176600441501,0.013245033112582781,0.07505518763796909,0.0,0.11920529801324503,0.03090507726269316,0.046357615894039736,0.05077262693156733,0.09050772626931568,0.02869757174392936,0.02207505518763797,0.024282560706401765,0.013245033112582781,0.004415011037527594,0.0,0.026490066225165563,0.046357615894039736,0.024282560706401765,0.006622516556291391,0.006622516556291391,0.002207505518763797,0.02869757174392936,0.008830022075055188
432,shamanking,0.002127659574468085,0.19574468085106383,0.0425531914893617,0.06170212765957447,0.01276595744680851,0.03829787234042553,0.00425531914893617,0.0851063829787234,0.027659574468085105,0.07234042553191489,0.0574468085106383,0.12340425531914893,0.023404255319148935,0.02127659574468085,0.03404255319148936,0.02127659574468085,0.002127659574468085,0.0,0.036170212765957444,0.05106382978723404,0.02553191489361702,0.014893617021276596,0.01276595744680851,0.0,0.02553191489361702,0.00851063829787234
433,nyarukocrawlingwithlove,0.00646551724137931,0.2650862068965517,0.06896551724137931,0.0668103448275862,0.017241379310344827,0.08189655172413793,0.004310344827586207,0.07327586206896551,0.00646551724137931,0.04525862068965517,0.015086206896551725,0.06896551724137931,0.01939655172413793,0.008620689655172414,0.034482758620689655,0.040948275862068964,0.00646551724137931,0.0021551724137931034,0.017241379310344827,0.05818965517241379,0.04956896551724138,0.008620689655172414,0.017241379310344827,0.004310344827586207,0.004310344827586207,0.008620689655172414
434,megaman,0.0022471910112359553,0.2292134831460674,0.051685393258426963,0.06741573033707865,0.017977528089887642,0.0651685393258427,0.0044943820224719105,0.10786516853932585,0.015730337078651686,0.056179775280898875,0.05393258426966292,0.1303370786516854,0.01348314606741573,0.006741573033707865,0.06292134831460675,0.006741573033707865,0.02247191011235955,0.0,0.035955056179775284,0.017977528089887642,0.011235955056179775,0.0022471910112359553,0.0,0.006741573033707865,0.008988764044943821,0.0022471910112359553
435,americandragonjakelong,0.004246284501061571,0.20382165605095542,0.06794055201698514,0.0870488322717622,0.055201698513800426,0.11040339702760085,0.014861995753715499,0.059447983014861996,0.012738853503184714,0.04670912951167728,0.03397027600849257,0.08492569002123142,0.036093418259023353,0.016985138004246284,0.04883227176220807,0.008492569002123142,0.010615711252653927,0.006369426751592357,0.016985138004246284,0.01910828025477707,0.029723991507430998,0.0021231422505307855,0.0,0.021231422505307854,0.0,0.0021231422505307855
436,thesevendeadlysins,0.008791208791208791,0.21978021978021978,0.01978021978021978,0.04835164835164835,0.008791208791208791,0.05714285714285714,0.0,0.10329670329670329,0.03956043956043956,0.041758241758241756,0.05714285714285714,0.0989010989010989,0.024175824175824177,0.024175824175824177,0.054945054945054944,0.024175824175824177,0.015384615384615385,0.0,0.035164835164835165,0.06373626373626373,0.026373626373626374,0.004395604395604396,0.006593406593406593,0.002197802197802198,0.008791208791208791,0.006593406593406593
