Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1335/0.00919724975444236,1587/0.0044347028239372,627/0.005928553331644287,1557/0.0055885283542000605,2214/0.009735869467231588,617/0.00532980220144004,803/0.007436438548889559,786/0.01123887481322679,552/0.009947798680193047,1771/0.009291121816930488,368/0.006320520623624702,,2325/0.009723565646795296,1668/0.007483466759484859,,,836/0.007899562702778954,2444/0.009636595843492395,
2382/0.00919724975444236,596/0.004383729228259761,848/0.005928553331644287,165/0.0055885283542000605,1720/0.009645722527720184,576/0.005247041297690971,41/0.007386192342478143,2224/0.01123887481322679,1056/0.009553826455234907,1368/0.008860977288368892,249/0.006273701952338593,,2653/0.009418113322812198,856/0.007309432648799165,,,883/0.007758499083086472,1659/0.009404388714733543,
1620/0.008840075006697026,2286/0.004383729228259761,431/0.005877881935647327,2136/0.005545206428973703,598/0.00955557558820878,698/0.005213936936191343,2578/0.007335946136066727,1099/0.011108945624634574,332/0.009553826455234907,1490/0.008860977288368892,129/0.006226883281052484,,597/0.009367204602148347,1996/0.00713539853811347,,,497/0.00761743546339399,1135/0.009404388714733543,
1946/0.008750781319760693,2523/0.004332755632582322,1740/0.005877881935647327,1887/0.005501884503747346,367/0.009465428648697377,1/0.00519738475544153,505/0.007335946136066727,2323/0.010589228870265706,1212/0.009455333398995371,884/0.008774948382656573,255/0.006226883281052484,,1017/0.009367204602148347,40/0.00713539853811347,,,804/0.00761743546339399,891/0.009288285150354117,
1492/0.008750781319760693,1985/0.004281782036904883,384/0.0057765391436534076,1064/0.005501884503747346,695/0.009375281709185973,150/0.005081519490192833,2080/0.007335946136066727,509/0.010589228870265706,1854/0.009356840342755836,568/0.008688919476944253,1322/0.0061332459384802656,,213/0.009367204602148347,1160/0.006961364427427776,,,1107/0.00761743546339399,1595/0.009172181585974689,
495/0.008572193945888026,462/0.004179834845550005,1376/0.005725867747656448,54/0.005371918728068276,1525/0.009104840890651762,1978/0.005081519490192833,480/0.007335946136066727,22/0.010264405898785162,2432/0.008568895892839554,2441/0.008258774948382657,623/0.006086427267194157,,44/0.009316295881484499,424/0.006961364427427776,,,1481/0.00747637184370151,1539/0.009172181585974689,
1611/0.008572193945888026,913/0.004179834845550005,1303/0.005675196351659488,999/0.005371918728068276,829/0.009104840890651762,408/0.005048415128693205,289/0.007235453723243895,336/0.009809653738712402,347/0.008568895892839554,1223/0.008000688231245699,1689/0.006039608595908048,,499/0.00916356971949295,1271/0.006787330316742082,,,1816/0.00747637184370151,539/0.00882387089283641,
1926/0.008572193945888026,2015/0.004128861249872566,911/0.005675196351659488,712/0.005371918728068276,222/0.008924547011628954,1704/0.005048415128693205,1898/0.0071852075168324795,1750/0.009809653738712402,1944/0.00847040283660002,104/0.008000688231245699,1187/0.005899152582049721,,2105/0.00916356971949295,131/0.006613296206056387,,,577/0.00747637184370151,2400/0.008707767328456984,
2448/0.008304312885079025,411/0.004128861249872566,4/0.00542183937167469,449/0.005371918728068276,787/0.008383665374560534,957/0.004965654224944136,2504/0.007134961310421063,1601/0.009549795361527967,2086/0.008371909780360485,2058/0.007914659325533379,134/0.0058523339107636125,,2078/0.0090108435575014,1629/0.006613296206056387,,,1520/0.00747637184370151,1230/0.008359456635318705,
1555/0.008215019198142692,1108/0.004128861249872566,301/0.00542183937167469,932/0.005371918728068276,47/0.008383665374560534,274/0.004882893321195067,1059/0.007034468897598231,1896/0.009160007795751315,291/0.008371909780360485,644/0.007656572608396421,1795/0.0058523339107636125,,1506/0.0090108435575014,2221/0.006613296206056387,,,2087/0.007335308224009028,416/0.008011145942180425,
