Topic 1,Topic 2,Topic 3,Topic 4
2604/0.0018773753376986125,2105/0.0012974562649117369,2019/0.0032607796077133164,
1285/0.0018621121235709815,499/0.0012974562649117369,540/0.0032442274269635024,
693/0.0018621121235709815,1189/0.0012974562649117369,135/0.0032442274269635024,
2219/0.0018621121235709815,1468/0.001290248174551116,55/0.0032276752462136885,
2452/0.0018621121235709815,1911/0.0012830400841904953,1261/0.003211123065463875,
2292/0.0018621121235709815,1075/0.0012758319938298746,1772/0.0031780187039642475,
1410/0.0018468489094433506,1506/0.0012758319938298746,169/0.0031449143424646196,
2027/0.0018468489094433506,2078/0.0012758319938298746,1573/0.003128362161714806,
1356/0.0018315856953157197,1932/0.0012686239034692538,1890/0.003128362161714806,
275/0.0018315856953157197,585/0.0012686239034692538,1571/0.003128362161714806,
900/0.0018163224811880885,1225/0.0012686239034692538,2401/0.003111809980964992,
488/0.0018163224811880885,933/0.0012686239034692538,2545/0.0030621534387155506,
1325/0.0018163224811880885,448/0.001261415813108633,730/0.003045601257965737,
837/0.0018010592670604576,1133/0.001261415813108633,127/0.003029049077215923,
327/0.0018010592670604576,423/0.001261415813108633,1307/0.003029049077215923,
2507/0.0018010592670604576,330/0.001261415813108633,1575/0.003029049077215923,
1493/0.0018010592670604576,2053/0.0012542077227480123,11/0.0030124968964661096,
643/0.0018010592670604576,2517/0.0012542077227480123,696/0.0029793925349664817,
1430/0.0017857960529328266,419/0.0012469996323873915,926/0.002962840354216668,
2515/0.0017857960529328266,786/0.0012469996323873915,731/0.002962840354216668,
876/0.0017857960529328266,748/0.0012469996323873915,1703/0.0029297359927170407,
1973/0.0017857960529328266,839/0.0012469996323873915,1066/0.0029297359927170407,
2495/0.0017857960529328266,2224/0.0012469996323873915,626/0.0029131838119672267,
1624/0.0017705328388051957,412/0.0012397915420267708,23/0.0028966316312174127,
1719/0.0017705328388051957,964/0.0012397915420267708,1026/0.0027973185467185303,
171/0.0017705328388051957,70/0.0012397915420267708,430/0.002764214185218903,
1897/0.0017705328388051957,248/0.0012397915420267708,943/0.002764214185218903,
773/0.0017552696246775645,1099/0.00123258345166615,2056/0.0027145576429694613,
13/0.0017552696246775645,393/0.00123258345166615,716/0.0026980054622196474,
723/0.0017552696246775645,463/0.00123258345166615,342/0.002681453281469834,
126/0.0017400064105499336,682/0.0012253753613055292,1608/0.00266490110072002,
700/0.0017400064105499336,1039/0.0012253753613055292,1832/0.00266490110072002,
184/0.0017400064105499336,1326/0.0012253753613055292,279/0.002648348919970206,
733/0.0017400064105499336,39/0.0012181672709449085,904/0.002648348919970206,
2365/0.0017400064105499336,1283/0.0012181672709449085,2172/0.002648348919970206,
1538/0.0017400064105499336,645/0.0012181672709449085,1749/0.0026317967392203924,
145/0.0017400064105499336,2295/0.0012109591805842877,759/0.002598692377720765,
656/0.0017247431964223026,387/0.0012109591805842877,316/0.002598692377720765,
1924/0.0017247431964223026,2154/0.0012109591805842877,1222/0.002565588016221137,
1469/0.0017247431964223026,2062/0.001203751090223667,228/0.0025490358354713235,
1147/0.0017094799822946717,52/0.001203751090223667,1354/0.0025324836547215095,
314/0.0017094799822946717,528/0.001203751090223667,390/0.0024662749317222545,
1098/0.0017094799822946717,1570/0.0011965429998630462,1501/0.0024662749317222545,
858/0.0017094799822946717,487/0.0011965429998630462,2616/0.0024331705702226266,
1491/0.0016942167681670405,244/0.0011965429998630462,36/0.0024331705702226266,
959/0.0016789535540394096,1034/0.0011893349095024254,1238/0.0024331705702226266,
1473/0.0016789535540394096,328/0.0011893349095024254,1047/0.0023669618472233716,
1912/0.0016789535540394096,982/0.0011821268191418047,838/0.0023504096664735577,
771/0.0016789535540394096,815/0.0011821268191418047,887/0.0023504096664735577,
2516/0.0016636903399117786,1183/0.0011821268191418047,961/0.00231730530497393,
