Topic 1,Topic 2,Topic 3,Topic 4
2303/0.003162786171325694,1762/0.0017417342185160663,2401/0.00156105726755193,
802/0.003162786171325694,603/0.0017298045320878741,2216/0.0015544144706687304,
719/0.003138457046930881,548/0.0017298045320878741,989/0.0015544144706687304,
524/0.003138457046930881,337/0.001723839688873778,2163/0.0015544144706687304,
120/0.003114127922536068,1908/0.001717874845659682,1305/0.0015477716737855307,
849/0.003114127922536068,2573/0.001717874845659682,112/0.0015477716737855307,
727/0.003089798798141255,645/0.001717874845659682,289/0.001541128876902331,
1620/0.003089798798141255,696/0.0017119100024455857,1337/0.0015344860800191313,
1639/0.003089798798141255,730/0.0017059451592314897,716/0.0015344860800191313,
1331/0.003089798798141255,1133/0.0016940154728032973,2228/0.0015344860800191313,
1193/0.003065469673746442,1890/0.001682085786375105,387/0.0015278432831359315,
2024/0.003065469673746442,1078/0.001682085786375105,1404/0.0015278432831359315,
834/0.0030411405493516288,270/0.001682085786375105,1108/0.0015212004862527318,
880/0.0029924823005620027,238/0.001682085786375105,2519/0.0015212004862527318,
1997/0.0029924823005620027,505/0.001676120943161009,1678/0.001514557689369532,
434/0.0029924823005620027,736/0.001676120943161009,386/0.0015079148924863324,
2157/0.0029924823005620027,1293/0.0016701560999469128,1183/0.0015012720956031327,
1834/0.0029924823005620027,293/0.0016701560999469128,869/0.001494629298719933,
2599/0.0029924823005620027,1731/0.0016701560999469128,2053/0.0014879865018367334,
934/0.0029924823005620027,23/0.0016582264135187206,1652/0.0014879865018367334,
2182/0.0029681531761671896,523/0.0016522615703046246,1825/0.0014879865018367334,
198/0.0029438240517723766,835/0.0016522615703046246,1080/0.0014813437049535337,
2160/0.0029438240517723766,197/0.0016522615703046246,687/0.0014813437049535337,
1943/0.0029438240517723766,181/0.0016522615703046246,406/0.0014813437049535337,
2086/0.0029194949273775635,5/0.0016462967270905284,944/0.0014813437049535337,
2255/0.0029194949273775635,53/0.0016462967270905284,701/0.0014813437049535337,
1702/0.0029194949273775635,1307/0.0016343670406623362,2597/0.0014680581111871343,
71/0.0029194949273775635,239/0.0016343670406623362,223/0.0014680581111871343,
1884/0.0028951658029827505,281/0.0016343670406623362,1099/0.0014614153143039344,
2050/0.0028951658029827505,2130/0.00162840219744824,2319/0.0014614153143039344,
1421/0.0028951658029827505,475/0.001622437354234144,2468/0.0014614153143039344,
1109/0.0028951658029827505,41/0.001622437354234144,521/0.0014614153143039344,
484/0.0028951658029827505,1059/0.0016164725110200478,426/0.001448129720537535,
1265/0.0028708366785879375,1152/0.0016105076678059518,448/0.001448129720537535,
2007/0.0028708366785879375,626/0.0016045428245918556,1689/0.001448129720537535,
1445/0.0028465075541931244,52/0.0016045428245918556,204/0.001448129720537535,
1149/0.0028465075541931244,169/0.0016045428245918556,1441/0.0014414869236543354,
206/0.0028465075541931244,2144/0.0016045428245918556,2429/0.001428201329887936,
1098/0.0028465075541931244,1423/0.0015926131381636633,1333/0.001428201329887936,
1788/0.0028465075541931244,1142/0.0015926131381636633,346/0.001428201329887936,
995/0.0028221784297983114,677/0.0015866482949495673,446/0.0014149157361215367,
2047/0.0028221784297983114,1060/0.001568753765307279,1487/0.001408272939238337,
